hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 900.00000, 16.8304, 179.819, 16.6565, -179.352, 16.4278, 179.49, 0, 0
0, 1800.00000, 0.168153, -0.15657, 0.166626, 0.611195, 0.164397, -0.459125, 0, 0
0, 2700.00000, 0.168354, -0.147685, 0.166541, 0.671798, 0.164284, -0.529646, 0, 0
1, 0.00000, 0.168758, -0.0435189, 0.166207, 0.715462, 0.164218, -0.679506, 0, 0
1, 900.00000, 0.168519, -0.0918699, 0.166377, 0.664294, 0.164284, -0.578465, 0, 0
1, 1800.00000, 0.168503, -0.0482152, 0.166334, 0.633667, 0.164341, -0.592017, 0, 0
1, 2700.00000, 0.168291, -0.113546, 0.166559, 0.626615, 0.164327, -0.518857, 0, 0
2, 0.00000, 0.168321, -0.0922605, 0.166533, 0.618487, 0.164323, -0.532313, 0, 0
2, 900.00000, 0.16834, -0.123109, 0.166619, 0.661269, 0.164219, -0.544857, 0, 0
2, 1800.00000, 0.168421, -0.109484, 0.166508, 0.659681, 0.164251, -0.556367, 0, 0
2, 2700.00000, 0.168503, -0.0953878, 0.166444, 0.670125, 0.164234, -0.581181, 0, 0
3, 0.00000, 0.16858, -0.0591414, 0.166314, 0.659445, 0.164287, -0.606865, 0, 0
3, 900.00000, 0.168651, -0.0452712, 0.166247, 0.659714, 0.164282, -0.6213, 0, 0
3, 1800.00000, 0.168371, -0.0142, 0.166199, 0.5533, 0.164607, -0.543739, 0, 0
3, 2700.00000, 0.168303, -0.0341607, 0.166247, 0.554087, 0.164622, -0.525171, 0, 0
4, 0.00000, 0.168319, -0.0323976, 0.166236, 0.557521, 0.164621, -0.529676, 0, 0
4, 900.00000, 0.168404, -0.0164074, 0.166177, 0.573036, 0.164594, -0.562116, 0, 0
4, 1800.00000, 0.168445, -0.00859489, 0.166137, 0.576971, 0.164594, -0.573701, 0, 0
4, 2700.00000, 0.16841, -0.0388695, 0.166243, 0.592583, 0.164522, -0.559238, 0, 0
5, 0.00000, 0.168441, -0.0388768, 0.166228, 0.596524, 0.164508, -0.562923, 0, 0
5, 900.00000, 0.168441, -0.020357, 0.16616, 0.585425, 0.164576, -0.570338, 0, 0
5, 1800.00000, 0.168436, -0.106212, 0.166455, 0.659006, 0.164287, -0.559114, 0, 0
5, 2700.00000, 0.168897, -0.0325642, 0.165998, 0.704948, 0.164291, -0.678613, 0, 0
6, 0.00000, 0.168848, -0.0631231, 0.166077, 0.721717, 0.164262, -0.664219, 0, 0
6, 900.00000, 0.168734, -0.0627658, 0.166108, 0.699317, 0.164337, -0.643201, 0, 0
6, 1800.00000, 0.169093, 0.00414962, 0.165867, 0.744895, 0.164227, -0.756855, 0, 0
6, 2700.00000, 0.16993, -0.177651, 0.166305, 1.11065, 0.162978, -0.948128, 0, 0
7, 0.00000, 0.170155, -0.135614, 0.16621, 1.12918, 0.162853, -1.01081, 0, 0
7, 900.00000, 0.170383, -0.0957231, 0.166023, 1.16713, 0.162817, -1.09013, 0, 0
7, 1800.00000, 0.17032, -0.188651, 0.166477, 1.23076, 0.16243, -1.06363, 0, 0
7, 2700.00000, 0.169839, -0.170798, 0.166536, 1.1027, 0.16284, -0.949461, 0, 0
8, 0.00000, 0.169687, -0.18654, 0.166564, 1.05515, 0.162957, -0.884358, 0, 0
8, 900.00000, 0.169846, -0.133397, 0.166401, 1.04922, 0.162961, -0.932635, 0, 0
