hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 7415.53, -5.58512E-005, 7415.53, -120, 7415.53, 120, 1094.05, -17.137, 975.174, -136.115, 1004.54, 103.309
0, 1800.00000, 7415.53, -5.38556E-005, 7415.53, -120, 7415.53, 120, 1064.7, -17.4135, 954.936, -136.302, 998.894, 103.174
0, 2700.00000, 7415.53, -5.35351E-005, 7415.53, -120, 7415.53, 120, 1053.1, -17.2635, 941.107, -136.169, 981.759, 103.203
1, 0.00000, 7415.53, -5.35674E-005, 7415.53, -120, 7415.53, 120, 1054.08, -17.2733, 943.659, -136.08, 987.075, 102.945
1, 900.00000, 7415.53, -5.30367E-005, 7415.53, -120, 7415.53, 120, 1047.14, -17.374, 945.082, -136.167, 993.681, 102.914
1, 1800.00000, 7415.53, -5.18993E-005, 7415.53, -120, 7415.53, 120, 1037.38, -17.7402, 938.782, -136.539, 975.309, 102.449
1, 2700.00000, 7415.53, -5.17058E-005, 7415.53, -120, 7415.53, 120, 1035.92, -17.8088, 925.52, -136.737, 972.801, 102.465
2, 0.00000, 7415.53, -5.13353E-005, 7415.53, -120, 7415.53, 120, 1028.41, -17.8063, 917.19, -136.736, 969.552, 102.518
2, 900.00000, 7415.53, -5.07057E-005, 7415.53, -120, 7415.53, 120, 1022.71, -18.0047, 908.222, -137.059, 966.844, 102.335
2, 1800.00000, 7415.53, -5.09315E-005, 7415.53, -120, 7415.53, 120, 1023.42, -17.8951, 902.243, -137.075, 971.493, 102.198
2, 2700.00000, 7415.53, -5.0962E-005, 7415.53, -120, 7415.53, 120, 1027.53, -17.9951, 900.879, -137.287, 961.687, 102.099
3, 0.00000, 7415.53, -5.13266E-005, 7415.53, -120, 7415.53, 120, 1033.1, -17.9448, 904.868, -137.27, 964.176, 102.1
3, 900.00000, 7415.53, -5.13465E-005, 7415.53, -120, 7415.53, 120, 1033.63, -17.9484, 909.512, -137.183, 966.143, 102.17
3, 1800.00000, 7415.53, -4.96735E-005, 7415.53, -120, 7415.53, 120, 979.5, -17.3353, 840.892, -136.011, 890.541, 103.249
3, 2700.00000, 7415.53, -4.9026E-005, 7415.53, -120, 7415.53, 120, 973.495, -17.5437, 845.378, -136.254, 902.174, 102.876
4, 0.00000, 7415.53, -4.90811E-005, 7415.53, -120, 7415.53, 120, 970.786, -17.427, 839.381, -136.111, 895.506, 103.118
4, 900.00000, 7415.53, -4.91735E-005, 7415.53, -120, 7415.53, 120, 977.624, -17.5802, 843.616, -136.293, 901.645, 103.044
4, 1800.00000, 7415.53, -4.94136E-005, 7415.53, -120, 7415.53, 120, 992.167, -17.8726, 853.283, -136.598, 912.736, 102.726
