hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 8112.94, 17.1369, 7231.43, 16.1153, 7449.21, 16.6906
0, 1800.00000, 7895.34, 17.4134, 7081.36, 16.3018, 7407.33, 16.8259
0, 2700.00000, 7809.28, 17.2635, 6978.81, 16.1687, 7280.27, 16.7967
1, 0.00000, 7816.53, 17.2732, 6997.73, 16.08, 7319.69, 17.0546
1, 900.00000, 7765.08, 17.3739, 7008.29, 16.1673, 7368.67, 17.0856
1, 1800.00000, 7692.73, 17.7401, 6961.57, 16.5389, 7232.44, 17.5512
1, 2700.00000, 7681.91, 17.8087, 6863.22, 16.7372, 7213.83, 17.5345
2, 0.00000, 7626.23, 17.8062, 6801.45, 16.7361, 7189.74, 17.4824
2, 900.00000, 7583.92, 18.0047, 6734.95, 17.0594, 7169.66, 17.6646
2, 1800.00000, 7589.18, 17.8951, 6690.61, 17.0745, 7204.14, 17.8018
2, 2700.00000, 7619.71, 17.995, 6680.5, 17.2872, 7131.42, 17.901
3, 0.00000, 7661.01, 17.9447, 6710.08, 17.2698, 7149.88, 17.8995
3, 900.00000, 7664.94, 17.9484, 6744.52, 17.1828, 7164.46, 17.8298
3, 1800.00000, 7263.51, 17.3353, 6235.66, 16.0105, 6603.84, 16.7514
3, 2700.00000, 7218.98, 17.5436, 6268.93, 16.2537, 6690.1, 17.1238
4, 0.00000, 7198.9, 17.4269, 6224.46, 16.111, 6640.66, 16.8821
4, 900.00000, 7249.6, 17.5802, 6255.87, 16.2928, 6686.18, 16.9555
4, 1800.00000, 7357.45, 17.8726, 6327.55, 16.5981, 6768.43, 17.2738
4, 2700.00000, 7376.33, 17.7921, 6352.07, 16.5172, 6792.47, 17.2033
5, 0.00000, 7419.86, 17.8258, 6370.05, 16.5991, 6795.63, 17.2365
5, 900.00000, 7596.09, 18.1184, 6470.19, 16.9037, 6818.22, 17.3772
5, 1800.00000, 7757.6, 17.9995, 6661.82, 16.8178, 7051.42, 17.3774
5, 2700.00000, 7892.63, 17.966, 6845.69, 16.8975, 7313.47, 17.5465
6, 0.00000, 7912.29, 17.8406, 6845.84, 16.7459, 7303.3, 17.4171
6, 900.00000, 7917.77, 17.8106, 6864.01, 16.4933, 7287.97, 17.3203
6, 1800.00000, 8449.75, 18.1632, 7423.59, 17.0504, 7852.58, 17.7799
6, 2700.00000, 10341, 20.0383, 9434.86, 19.5896, 9962.88, 19.9973
7, 0.00000, 10811.2, 20.311, 9856.08, 19.8841, 10422.2, 20.3199
7, 900.00000, 11006.5, 20.2331, 10030.1, 19.6739, 10665.5, 20.2688
7, 1800.00000, 10721.3, 19.9547, 9753.88, 19.4841, 10424.8, 20.055
7, 2700.00000, 10526.4, 20.161, 9504.8, 19.5017, 10132.8, 20.0672
8, 0.00000, 10614.4, 19.8951, 9560.41, 19.4159, 10253, 19.9879
8, 900.00000, 10579.1, 19.4037, 9635.41, 19.0354, 10303.5, 19.5276
8, 1800.00000, 10702.6, 19.5023, 9745.91, 19.0011, 10371.8, 19.4372
8, 2700.00000, 10022.6, 18.9163, 8970.42, 18.1652, 9613.85, 18.7911
9, 0.00000, 9120.54, 17.8527, 8057.9, 16.9817, 8579.05, 17.551
9, 900.00000, 9141.12, 18.0277, 8046.29, 17.0892, 8591.79, 17.7627
9, 1800.00000, 9019.29, 18.0287, 7969, 17.0251, 8507.1, 17.8213
9, 2700.00000, 8737.53, 17.5184, 7757.6, 16.686, 8252.33, 17.3594
10, 0.00000, 8791.63, 17.6296, 7743.08, 16.7514, 8191.02, 17.3498
10, 900.00000, 8638.17, 17.6449, 7585.08, 16.5817, 8018.71, 17.231
10, 1800.00000, 8642.74, 17.6478, 7565.93, 16.5569, 7991.97, 17.2451
10, 2700.00000, 8554.21, 17.5527, 7433.78, 16.4936, 7921.37, 17.1853
11, 0.00000, 8447.92, 17.6108, 7346.16, 16.4809, 7791.04, 17.1649
11, 900.00000, 8360.73, 17.643, 7266.71, 16.5937, 7755.52, 17.417
11, 1800.00000, 8179.69, 17.5634, 7083.06, 16.4185, 7541.27, 17.2656
11, 2700.00000, 8010.94, 17.2053, 6982.28, 16.0548, 7348.8, 16.776
12, 0.00000, 7757.98, 16.7725, 6778.01, 15.8141, 7172.46, 16.6775
12, 900.00000, 7753.43, 16.6633, 6754.11, 15.7891, 7165.48, 16.6611
12, 1800.00000, 8687.11, 18.4706, 7778.82, 18.0886, 8179.65, 18.7052
12, 2700.00000, 8490.02, 18.1324, 7611.87, 17.8151, 7968.41, 18.3518
13, 0.00000, 8546.5, 18.1429, 7676.04, 17.7873, 8064.38, 18.325
13, 900.00000, 8409.24, 18.3405, 7568.55, 17.9723, 7939.82, 18.4697
13, 1800.00000, 8205.23, 17.965, 7418.29, 17.6222, 7751.7, 18.081
13, 2700.00000, 8074.96, 17.7439, 7289.66, 17.3337, 7634.83, 17.7638
14, 0.00000, 7986.57, 17.707, 7227.62, 17.4057, 7552.54, 17.7134
14, 900.00000, 7901.87, 17.8436, 7210.4, 17.6828, 7428.17, 17.8705
14, 1800.00000, 8106.36, 17.9586, 7397.73, 17.807, 7660.85, 18.0105
14, 2700.00000, 7911.54, 17.6459, 7169.43, 17.4197, 7470.76, 17.7883
15, 0.00000, 7946.11, 17.4726, 7134.03, 17.128, 7444.8, 17.5394
15, 900.00000, 7947.51, 17.464, 7075.61, 17.2093, 7438.57, 17.4772
15, 1800.00000, 7767.7, 17.1744, 6839.86, 16.7375, 7257.83, 17.2237
15, 2700.00000, 7763.45, 17.2511, 6795.39, 16.6137, 7237.02, 17.2465
16, 0.00000, 7757.06, 17.1704, 6797.55, 16.5588, 7334.26, 17.3682
16, 900.00000, 7792.79, 17.2876, 6890.83, 16.7004, 7396.28, 17.3008
16, 1800.00000, 8060.75, 16.801, 7091.42, 16.2482, 7555.92, 16.7457
16, 2700.00000, 8181.35, 16.9357, 7180.47, 16.3424, 7617.11, 16.8906
