Source_File,State,Matched_Buildings,Tolerance
com_12774.parquet,WA,"[333602, 333840, 334629]",20
com_12775.parquet,WA,"[333529, 333560, 333580, 334296, 335230, 335344, 335419, 336047, 336372, 336800, 336974, 337341, 337662, 337980]",25
com_12779.parquet,WA,[336068],15
com_12783.parquet,WA,"[335070, 335402, 335845, 338605, 339522, 339827]",10
com_12785.parquet,WA,[334965],20
com_12786.parquet,WA,"[335124, 335510]",20
com_12789.parquet,WA,"[334400, 334809, 336391, 336711, 337831, 338205, 339226, 339316, 339725]",40
com_12790.parquet,WA,"[336488, 335847, 336574, 337480, 337531, 340125, 340292]",15
com_12792.parquet,WA,"[333976, 338976, 339486]",20
com_12794.parquet,WA,"[334988, 335264, 339222]",30
com_12795.parquet,WA,"[333637, 335646]",15
com_12797.parquet,WA,"[337305, 338207]",25
com_12801.parquet,WA,"[336617, 337277, 337294, 337320, 337742]",25
com_12805.parquet,WA,"[335230, 337341]",20
com_12806.parquet,WA,"[334298, 334990, 336684, 337035, 337581]",15
com_12809.parquet,WA,"[334675, 337175, 337728, 338120, 338695]",25
com_12812.parquet,WA,[335027],10
com_12813.parquet,WA,"[337019, 338885, 339840, 339867]",20
com_12814.parquet,WA,"[333488, 333721, 337163, 338493, 338709, 339770]",30
com_12815.parquet,WA,"[334357, 335722, 337603, 337784, 338265, 338280, 338696]",30
com_12816.parquet,WA,"[334215, 335246]",15
com_12817.parquet,WA,[333684],20
com_12819.parquet,WA,"[335881, 334915, 335272, 338361, 339188, 339207, 339943]",20
com_12821.parquet,WA,"[333684, 335912, 336306, 340195]",20
com_12824.parquet,WA,[335643],10
com_12826.parquet,WA,"[334544, 335056, 335075, 335885, 336027, 336046, 336381, 336483, 336609, 336987, 337582, 338041, 339298, 339478, 339863, 339886]",25
com_12831.parquet,WA,"[336467, 338256]",10
com_12832.parquet,WA,[338201],10
com_12841.parquet,WA,[336895],20
com_12842.parquet,WA,"[336376, 336528, 337272, 338068]",15
com_12843.parquet,WA,"[334160, 335443, 336376, 337230]",10
com_12845.parquet,WA,"[333840, 336199]",20
com_12846.parquet,WA,"[334520, 335479, 337828, 338112, 338947, 339689]",40
com_12847.parquet,WA,[337732],10
com_12848.parquet,WA,"[336306, 336547, 339594]",20
com_12852.parquet,WA,"[333684, 334408, 335912, 336174, 337628, 340195]",25
com_12854.parquet,WA,"[334644, 337589, 337943]",35
com_12855.parquet,WA,"[333622, 334080, 334606, 334782, 335519, 335520, 335581, 335872, 335955, 336465, 336561, 336684, 336792, 337260, 337745, 337782, 338220, 338889, 339365, 339381, 339474, 339634, 339670, 339910]",30
com_12857.parquet,WA,[336187],15
com_12863.parquet,WA,"[335881, 337802, 333472, 334273, 334302, 334840, 334915, 335272, 335918, 336551, 336620, 337266, 337727, 337762, 338361, 338474, 338774, 339029, 339188, 339431, 339476]",20
com_12866.parquet,WA,[333472],10
com_12871.parquet,WA,"[333563, 333779, 336068, 337332]",15
com_12878.parquet,WA,[335651],30
com_12884.parquet,WA,"[333708, 333974, 337204, 338999]",20
com_12885.parquet,WA,"[334671, 339253]",10
com_12891.parquet,WA,"[335310, 335951, 336108]",20
com_12893.parquet,WA,"[334370, 339594, 339786]",20
com_12894.parquet,WA,"[333976, 338976, 339486]",20
com_12896.parquet,WA,[337508],25
com_12903.parquet,WA,"[333826, 334370, 334973, 335654, 336144, 336547, 337023, 337180, 337618, 338315, 338579, 338610, 339229, 339594, 339786]",20
com_12907.parquet,WA,"[335055, 335982, 340201]",15
com_12909.parquet,WA,"[335043, 335789, 338231, 338506]",10
com_12911.parquet,WA,"[333471, 333542, 333845, 334308, 334732, 334841, 335889, 335950, 336460, 338721]",25
com_12914.parquet,WA,[334315],15
com_12916.parquet,WA,"[334280, 336525]",35
com_12917.parquet,WA,"[333533, 335019, 335471, 337495, 338114, 338292, 339686]",15
com_12920.parquet,WA,"[336376, 337272, 338286, 339024, 339760]",15
com_12921.parquet,WA,[333665],15
com_12923.parquet,WA,"[333670, 339594]",20
com_12926.parquet,WA,"[333639, 334281, 336980, 337494, 338811]",25
com_12928.parquet,WA,"[334280, 336088, 336956, 337886]",45
com_12935.parquet,WA,"[334740, 335955, 336396, 337260, 338508]",15
com_12939.parquet,WA,"[334086, 336871]",15
com_12941.parquet,WA,"[336623, 338229, 338772]",35
com_12942.parquet,WA,[340125],20
com_12953.parquet,WA,[339284],25
com_12955.parquet,WA,"[339369, 339855, 339987]",20
com_12961.parquet,WA,"[333542, 333845, 334634, 334732]",25
com_12965.parquet,WA,"[337379, 337600]",15
com_12966.parquet,WA,"[335174, 339199]",20
com_12967.parquet,WA,[335246],10
com_12970.parquet,WA,"[333489, 333760, 334024, 335302, 336340, 336414, 336871, 337225, 338358]",20
com_12972.parquet,WA,"[333670, 334408, 336306]",20
com_12975.parquet,WA,"[333898, 333921, 338057, 338210]",20
com_12976.parquet,WA,"[334982, 336383, 336893, 338493]",15
com_12977.parquet,WA,"[333472, 334025, 334339, 334953, 335918, 337226, 337762, 338361, 338817, 339834]",20
com_12982.parquet,WA,"[334747, 335055, 335272, 338821, 339029]",15
com_12983.parquet,WA,"[336499, 337835, 338001, 339214]",15
com_12986.parquet,WA,[337864],30
com_12992.parquet,WA,[337320],15
com_12995.parquet,WA,"[334190, 337547]",35
com_12998.parquet,WA,"[333520, 336111, 338592, 339151]",35
