Source_File,State,Matched_Buildings,Tolerance
res_100.parquet,WA,"[3716, 8837, 77949, 92671, 108629, 118358, 122777, 128664, 129173, 140937, 183249, 206611, 216606, 217685, 235120, 251555, 260937, 262987, 288773, 358943, 369693, 389678, 432076, 460452, 476983, 502758, 507928, 508866]",15
res_1003.parquet,WA,"[1827, 12166, 29216, 52507, 66981, 118542, 132222, 150467, 163876, 164473, 188194, 235938, 414643, 418466, 439812, 458152, 458585, 479511, 512631, 515708, 518009]",10
res_1006.parquet,WA,"[12298, 106922, 500581, 539224]",50
res_1009.parquet,WA,[260496],25
res_101.parquet,WA,"[501, 14582, 22953, 50699, 58929, 61328, 61661, 65568, 72192, 81168, 92585, 101356, 103455, 116628, 118418, 119973, 133610, 135733, 139259, 166449, 204219, 213454, 221865, 225856, 232746, 234205, 244918, 245366, 248443, 259724, 261603, 286590, 291173, 306494, 310066, 329943, 330515, 335291, 340566, 341814, 342900, 345286, 356918, 359391, 372325, 384351, 396152, 402179, 420540, 424648, 436251, 457492, 458619, 462591, 463268, 463375, 470052, 471062, 472419, 477221, 481721, 483700, 486785, 491120, 510949, 513963, 519144, 529799, 536888, 543215, 545791]",5
res_1012.parquet,WA,[260496],65
res_1013.parquet,WA,"[107985, 108230, 255107, 272919, 384610, 397002, 414605, 445688]",15
res_1014.parquet,WA,[260496],75
res_1015.parquet,WA,"[35328, 72554, 167791, 217007, 220713, 246755, 248020, 408443, 429240, 452995, 475901, 523526, 525438]",10
res_1019.parquet,WA,"[5034, 6434, 8132, 9705, 12522, 13195, 13268, 15412, 17257, 18383, 18702, 19374, 21238, 23286, 23420, 25327, 26354, 27088, 28591, 38359, 43420, 43928, 45673, 47251, 48461, 49875, 51528, 52319, 53919, 55584, 55945, 57337, 58221, 58853, 60128, 60601, 63077, 65427, 65460, 66509, 67563, 70490, 70569, 76770, 77364, 78159, 82589, 83085, 85242, 86292, 87154, 90783, 92056, 92187, 93344, 93433, 95700, 97308, 98459, 101513, 102983, 107410, 107711, 107763, 110043, 112225, 114977, 116489, 117468, 117682, 118560, 121004, 122045, 127231, 129583, 132564, 132567, 132903, 133900, 134479, 134585, 138475, 139511, 139773, 140556, 142055, 143775, 144736, 146324, 147581, 148378, 150059, 150351, 152071, 152887, 155725, 156936, 158335, 158998, 159690, 161712, 162408, 163333, 164227, 164559, 166262, 167918, 170076, 170475, 172449, 172780, 174431, 174764, 175448, 175455, 176680, 178084, 180950, 186387, 191471, 191708, 196567, 198869, 202394, 205033, 206431, 206863, 208657, 208890, 210547, 211739, 213883, 219774, 220254, 220518, 221881, 224739, 227036, 227067, 229883, 230264, 231898, 232142, 234018, 235580, 240222, 240464, 240912, 243438, 244651, 245098, 245567, 245762, 247439, 250944, 251390, 251878, 252571, 254448, 255463, 255876, 258078, 261561, 262026, 262439, 263142, 266221, 268483, 270157, 270310, 274068, 276801, 278179, 278269, 278912, 279026, 282819, 283038, 284282, 285084, 285371, 286357, 287184, 289497, 292178, 293133, 294724, 295959, 296692, 296819, 297360, 298805, 299112, 301908, 302103, 303485, 303636, 303765, 305820, 307952, 310315, 311135, 312530, 313433, 314785, 315217, 317273, 321409, 322528, 324114, 324482, 325796, 327080, 327895, 329699, 330607, 331446, 333661, 335976, 336952, 341304, 341687, 344963, 347000, 348366, 350468, 352292, 352448, 353700, 353868, 356845, 357364, 358677, 359062, 364588, 365770, 365942, 368022, 370491, 371014, 372692, 373634, 375194, 380526, 381094, 386442, 388146, 388221, 389545, 390697, 390700, 395456, 396187, 396627, 398595, 400509, 401912, 404577, 407483, 407489, 408155, 408405, 408970, 409713, 410525, 411138, 414022, 417797, 419403, 421784, 421869, 425700, 427143, 427661, 432769, 436921, 437718, 438816, 441725, 445135, 445460, 446758, 447768, 456569, 456924, 457679, 462445, 462734, 463453, 464890, 466265, 470022, 471260, 471931, 472037, 473524, 478150, 481001, 483051, 483444, 483679, 486100, 486251, 500197, 501945, 502919, 506453, 507852, 515567, 518303, 520415, 521194, 521865, 523025, 526579, 531183, 531527, 531785, 532376, 533758, 537469, 537593, 539084, 547044]",25
