bldg_id,Occurrence_Count,Unique_Source_Files
3716,3,"['res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
8837,2,"['res_1037.parquet', 'res_100.parquet']"
77949,3,"['res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
92671,4,"['res_1037.parquet', 'res_520.parquet', 'res_377.parquet', 'res_100.parquet']"
108629,4,"['res_377.parquet', 'res_520.parquet', 'res_100.parquet', 'res_1258.parquet']"
118358,4,"['res_377.parquet', 'res_520.parquet', 'res_100.parquet', 'res_1258.parquet']"
122777,1,['res_100.parquet']
128664,1,['res_100.parquet']
129173,3,"['res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
140937,1,['res_100.parquet']
183249,3,"['res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
206611,2,"['res_1037.parquet', 'res_100.parquet']"
216606,3,"['res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
217685,3,"['res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
235120,5,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet', 'res_1037.parquet', 'res_1258.parquet']"
251555,3,"['res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
260937,5,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet', 'res_1037.parquet', 'res_1258.parquet']"
262987,3,"['res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
288773,6,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet', 'res_1037.parquet', 'res_1258.parquet', 'res_825.parquet']"
358943,3,"['res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
369693,5,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet', 'res_1037.parquet', 'res_1258.parquet']"
389678,2,"['res_1037.parquet', 'res_100.parquet']"
432076,5,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet', 'res_825.parquet', 'res_1258.parquet']"
460452,5,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet', 'res_1037.parquet', 'res_1258.parquet']"
476983,2,"['res_1037.parquet', 'res_100.parquet']"
502758,5,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet', 'res_1037.parquet', 'res_825.parquet']"
507928,4,"['res_377.parquet', 'res_520.parquet', 'res_100.parquet', 'res_1258.parquet']"
508866,3,"['res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
1827,4,"['res_46.parquet', 'res_1003.parquet', 'res_303.parquet', 'res_319.parquet']"
12166,5,"['res_881.parquet', 'res_1003.parquet', 'res_303.parquet', 'res_1231.parquet', 'res_119.parquet']"
29216,4,"['res_357.parquet', 'res_1003.parquet', 'res_303.parquet', 'res_319.parquet']"
52507,4,"['res_357.parquet', 'res_1003.parquet', 'res_303.parquet', 'res_119.parquet']"
66981,2,"['res_1003.parquet', 'res_119.parquet']"
118542,2,"['res_1003.parquet', 'res_119.parquet']"
132222,2,"['res_1003.parquet', 'res_119.parquet']"
150467,4,"['res_1003.parquet', 'res_303.parquet', 'res_119.parquet', 'res_881.parquet']"
163876,4,"['res_1003.parquet', 'res_303.parquet', 'res_119.parquet', 'res_881.parquet']"
164473,2,"['res_1003.parquet', 'res_119.parquet']"
188194,2,"['res_1003.parquet', 'res_119.parquet']"
235938,2,"['res_1003.parquet', 'res_119.parquet']"
414643,3,"['res_1003.parquet', 'res_303.parquet', 'res_319.parquet']"
418466,3,"['res_1003.parquet', 'res_303.parquet', 'res_119.parquet']"
439812,2,"['res_1003.parquet', 'res_119.parquet']"
458152,4,"['res_1003.parquet', 'res_303.parquet', 'res_119.parquet', 'res_881.parquet']"
458585,3,"['res_1003.parquet', 'res_303.parquet', 'res_119.parquet']"
479511,2,"['res_1003.parquet', 'res_119.parquet']"
512631,3,"['res_1003.parquet', 'res_303.parquet', 'res_119.parquet']"
515708,2,"['res_1003.parquet', 'res_119.parquet']"
518009,5,"['res_881.parquet', 'res_1003.parquet', 'res_303.parquet', 'res_1231.parquet', 'res_119.parquet']"
12298,5,"['res_642.parquet', 'res_131.parquet', 'res_451.parquet', 'res_1006.parquet', 'res_394.parquet']"
106922,3,"['res_798.parquet', 'res_1006.parquet', 'res_560.parquet']"
500581,7,"['res_642.parquet', 'res_131.parquet', 'res_451.parquet', 'res_132.parquet', 'res_1006.parquet', 'res_794.parquet', 'res_394.parquet']"
539224,3,"['res_394.parquet', 'res_798.parquet', 'res_1006.parquet']"
260496,23,"['res_1012.parquet', 'res_790.parquet', 'res_1009.parquet', 'res_775.parquet', 'res_112.parquet', 'res_1014.parquet', 'res_846.parquet', 'res_605.parquet', 'res_496.parquet', 'res_1121.parquet', 'res_1178.parquet', 'res_138.parquet', 'res_1198.parquet', 'res_192.parquet', 'res_163.parquet', 'res_1179.parquet', 'res_905.parquet', 'res_557.parquet', 'res_1189.parquet', 'res_1088.parquet', 'res_1102.parquet', 'res_1180.parquet', 'res_1275.parquet']"
501,5,"['res_88.parquet', 'res_618.parquet', 'res_101.parquet', 'res_958.parquet', 'res_807.parquet']"
14582,8,"['res_98.parquet', 'res_584.parquet', 'res_88.parquet', 'res_1091.parquet', 'res_618.parquet', 'res_966.parquet', 'res_75.parquet', 'res_101.parquet']"
22953,6,"['res_584.parquet', 'res_88.parquet', 'res_1091.parquet', 'res_618.parquet', 'res_966.parquet', 'res_101.parquet']"
50699,5,"['res_88.parquet', 'res_618.parquet', 'res_101.parquet', 'res_958.parquet', 'res_807.parquet']"
58929,5,"['res_88.parquet', 'res_618.parquet', 'res_75.parquet', 'res_958.parquet', 'res_101.parquet']"
61328,7,"['res_1174.parquet', 'res_88.parquet', 'res_584.parquet', 'res_618.parquet', 'res_966.parquet', 'res_904.parquet', 'res_101.parquet']"
61661,6,"['res_584.parquet', 'res_88.parquet', 'res_1091.parquet', 'res_618.parquet', 'res_966.parquet', 'res_101.parquet']"
65568,5,"['res_88.parquet', 'res_618.parquet', 'res_101.parquet', 'res_958.parquet', 'res_807.parquet']"
72192,6,"['res_1174.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
81168,7,"['res_1174.parquet', 'res_98.parquet', 'res_88.parquet', 'res_584.parquet', 'res_618.parquet', 'res_966.parquet', 'res_101.parquet']"
92585,7,"['res_1174.parquet', 'res_88.parquet', 'res_584.parquet', 'res_618.parquet', 'res_966.parquet', 'res_904.parquet', 'res_101.parquet']"
101356,6,"['res_1174.parquet', 'res_88.parquet', 'res_584.parquet', 'res_618.parquet', 'res_966.parquet', 'res_101.parquet']"
103455,4,"['res_88.parquet', 'res_958.parquet', 'res_101.parquet', 'res_618.parquet']"
116628,7,"['res_1174.parquet', 'res_88.parquet', 'res_584.parquet', 'res_618.parquet', 'res_966.parquet', 'res_904.parquet', 'res_101.parquet']"
118418,8,"['res_98.parquet', 'res_584.parquet', 'res_88.parquet', 'res_1091.parquet', 'res_618.parquet', 'res_966.parquet', 'res_75.parquet', 'res_101.parquet']"
119973,6,"['res_1174.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
133610,9,"['res_98.parquet', 'res_584.parquet', 'res_88.parquet', 'res_324.parquet', 'res_1091.parquet', 'res_618.parquet', 'res_966.parquet', 'res_75.parquet', 'res_101.parquet']"
135733,6,"['res_88.parquet', 'res_1091.parquet', 'res_618.parquet', 'res_75.parquet', 'res_958.parquet', 'res_101.parquet']"
139259,8,"['res_1174.parquet', 'res_584.parquet', 'res_88.parquet', 'res_618.parquet', 'res_966.parquet', 'res_904.parquet', 'res_101.parquet', 'res_1117.parquet']"
166449,6,"['res_1174.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
204219,6,"['res_1174.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
213454,6,"['res_1174.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
221865,8,"['res_1174.parquet', 'res_98.parquet', 'res_88.parquet', 'res_584.parquet', 'res_618.parquet', 'res_966.parquet', 'res_958.parquet', 'res_101.parquet']"
225856,5,"['res_88.parquet', 'res_618.parquet', 'res_101.parquet', 'res_958.parquet', 'res_807.parquet']"
232746,6,"['res_1174.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
234205,6,"['res_1174.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
244918,6,"['res_1174.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
245366,6,"['res_584.parquet', 'res_88.parquet', 'res_618.parquet', 'res_966.parquet', 'res_904.parquet', 'res_101.parquet']"
248443,5,"['res_88.parquet', 'res_618.parquet', 'res_101.parquet', 'res_958.parquet', 'res_807.parquet']"
259724,6,"['res_1174.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
261603,7,"['res_1174.parquet', 'res_88.parquet', 'res_584.parquet', 'res_618.parquet', 'res_966.parquet', 'res_904.parquet', 'res_101.parquet']"
286590,7,"['res_1174.parquet', 'res_98.parquet', 'res_88.parquet', 'res_584.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet']"
