bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State
48,0,1228,55104.0,80-100%,,3,Marine,"WA, Tacoma",G5300530,,Single-Family Detached,1,Electricity,65F,Yes,12F,Day +1h,"Room AC, EER 10.7",20% Conditioned,Room AC,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,Electricity Baseboard,,,,50000-59999,2,100%,94%,Occupied,Electric Standard,Electricity,3.17,0.0,31.28,0,50,8819.973856833027,0.0,0.0,0.0,2743.7313589523446,17829.27162499731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17829.27162499731,4996.0,30093.0,8130.000000000001,8.1113,15.0574,6.951,27.582,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
249,0,1698,39195.0,30-60%,,3,Marine,"WA, Federal Way",G5300330,,Single-Family Detached,1,Natural Gas,65F,No,0F,,"AC, SEER 10",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,35000-39999,4,200%,94%,Occupied,Natural Gas Standard,Natural Gas,27.89,0.0,66.4,0,40,0.0,380.9923912238889,0.0,0.0,0.0,11543.483311943488,0.0,0.0,0.0,0.0,15340.219026024628,0.0,11301.406607981233,29701.58067767404,0.0,0.0,0.0,0.0,41245.06398961753,26944.0,43174.0,25781.0,4.9667,3.1401,26.184,36.709,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
311,0,273,89096.0,120-150%,,1,Cold,"WA, Spokane",G5300630,,Single-Family Attached,2,Electricity,75F,Yes,6F,Night -3h,,,,"Electric Furnace, 100% AFUE",Ducted Heating,Electricity Electric Furnace,,,,80000-99999,2,50%,96%,Occupied,Electric Tankless,Electricity,0.0,0.0,13.59,0,0,6594.978292085517,165.29208357713333,0.0,0.0,1273.97994203865,11083.654802843274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11083.654802843274,0.0,23015.0,3958.0,9.6454,13.3844,0.0,16.261,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
445,0,322,19323.0,0-30%,,1,Marine,In another census Place,G5300330,,20 to 49 Unit,2,Electricity,60F,No,0F,,"AC, SEER 13",100% Conditioned,Central AC,Shared Heating,Ducted Heating,Electricity Shared Heating,,,,15000-19999,1,200%,91%,Occupied,Electric Standard,Electricity,4.43,0.0,2.95,0,30,20.221903841883336,2.051497491205556,0.0,0.0,2567.595645778839,7420.85256783084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7420.85256783084,7386.0,92.0,7647.0,18.057,19.2784,6.089,7.044,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
501,0,1228,149501.0,150%+,,4,Cold,"WA, Spokane",G5300630,,Single-Family Detached,2,Other Fuel,75F,No,0F,,,,,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,140000-159999,2,100%,94%,Occupied,Electric Standard,Electricity,0.0,0.0,41.24,0,50,0.0,0.0,0.0,0.0,2687.461713479278,6920.873322117027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813.5652907980889,0.0,0.0,0.0,0.0,7734.438612915115,0.0,81534.0,8237.0,9.3535,9.7379,0.0,35.536,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
533,0,1698,251101.0,150%+,,3,Marine,"WA, Sammamish",G5300330,,Single-Family Detached,2,Natural Gas,72F,Yes,3F,Night -3h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,200000+,9,200%,94%,Occupied,Natural Gas Standard,Natural Gas,25.13,0.0,58.31,0,40,0.0,488.54947397709446,0.0,0.0,0.0,19196.7412384209,0.0,0.0,0.0,0.0,22681.94240490897,0.0,22454.51925445532,47236.02280607809,0.0,0.0,0.0,0.0,66432.76404449898,30259.0,73073.0,55203.0,9.3801,8.367899999999999,25.478,50.116,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
558,0,1698,108692.0,150%+,,3,Cold,In another census Place,G5300170,,Single-Family Detached,2,Electricity,70F,No,0F,,Non-Ducted Heat Pump,100% Conditioned,Non-Ducted Heat Pump,"MSHP, SEER 14.5, 8.2 HSPF",Non-Ducted Heat Pump,Electricity MSHP,,,,100000-119999,2,100%,94%,Occupied,Propane Standard,Propane,48.08,60.3,48.08,0,40,9729.08031650726,234.74992720795,480.3434840122722,5.861421403444445,0.0,18457.02985730621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4466.696180494839,4466.696180494839,22923.726037801047,44711.0,90574.0,7910.0,10.613,13.9819,44.045,49.077,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
626,0,2678,108692.0,150%+,,4,Marine,In another census Place,G5300530,,Single-Family Detached,2,Electricity,72F,Yes,3F,Day and Night -5h,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 13, 7.7 HSPF",Ducted Heat Pump,Electricity ASHP,,,,100000-119999,2,100%,94%,Occupied,Electric Premium,Electricity,31.8,37.47,31.8,0,50,8089.933821034022,445.1749555916055,1846.347742085,36.63388377152778,2426.335389955828,18150.18444683589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18150.18444683589,2089.0,72743.0,7526.0,7.007,13.5155,11.52,48.118,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
639,0,1138,55558.0,30-60%,,2,Marine,In another census Place,G5300330,,50 or more Unit,3,Electricity,80F,No,0F,,Shared Cooling,100% Conditioned,Central AC,Shared Heating,Ducted Heating,Electricity Shared Heating,,,,50000-59999,4,100%,91%,Occupied,Electric Standard,Electricity,7.3,0.0,7.01,0,30,2135.022746204639,208.66660196262225,0.0,0.0,3523.0073345402834,11498.93650927731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704.2082730514724,0.0,0.0,0.0,0.0,13203.144782328782,9337.0,7507.0,11047.0,9.5625,11.7499,6.49,16.196,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
680,0,1228,149501.0,150%+,,3,Marine,In another census Place,G5300330,,Single-Family Detached,1,Electricity,72F,No,0F,,,,,"Electric Furnace, 100% AFUE",Ducted Heating,Electricity Electric Furnace,,,,140000-159999,2,100%,94%,Occupied,Electric Standard,Electricity,0.0,0.0,37.46,0,50,14640.07223938319,341.13472568046666,0.0,0.0,2355.1191199039777,21037.22755910245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.8959204684833,0.0,0.0,0.0,0.0,21511.12347957094,0.0,51114.0,7049.0,6.4175,11.4891,0.0,31.427,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
