bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State,income_group
249,0,1698,39195.0,30-60%,,3,Marine,"WA, Federal Way",G5300330,,Single-Family Detached,1,Natural Gas,65F,No,0F,,"AC, SEER 10",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,35000-39999,4,200%,94%,Occupied,Natural Gas Standard,Natural Gas,27.89,0.0,66.4,0,40,0.0,380.9923912238889,0.0,0.0,0.0,11543.483311943488,0.0,0.0,0.0,0.0,15340.219026024628,0.0,11301.406607981233,29701.58067767404,0.0,0.0,0.0,0.0,41245.06398961753,26944.0,43174.0,25781.0,4.9667,3.1401,26.184,36.709,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Low
445,0,322,19323.0,0-30%,,1,Marine,In another census Place,G5300330,,20 to 49 Unit,2,Electricity,60F,No,0F,,"AC, SEER 13",100% Conditioned,Central AC,Shared Heating,Ducted Heating,Electricity Shared Heating,,,,15000-19999,1,200%,91%,Occupied,Electric Standard,Electricity,4.43,0.0,2.95,0,30,20.221903841883336,2.051497491205556,0.0,0.0,2567.595645778839,7420.85256783084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7420.85256783084,7386.0,92.0,7647.0,18.057,19.2784,6.089,7.044,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Low
639,0,1138,55558.0,30-60%,,2,Marine,In another census Place,G5300330,,50 or more Unit,3,Electricity,80F,No,0F,,Shared Cooling,100% Conditioned,Central AC,Shared Heating,Ducted Heating,Electricity Shared Heating,,,,50000-59999,4,100%,91%,Occupied,Electric Standard,Electricity,7.3,0.0,7.01,0,30,2135.022746204639,208.66660196262225,0.0,0.0,3523.0073345402834,11498.93650927731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704.2082730514724,0.0,0.0,0.0,0.0,13203.144782328782,9337.0,7507.0,11047.0,9.5625,11.7499,6.49,16.196,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Low
727,0,634,36175.0,60-80%,,1,Marine,In another census Place,G5300530,,Mobile Home,1,Electricity,62F,Yes,3F,Day and Night -3h,,,,"Electric Furnace, 100% AFUE",Ducted Heating,Electricity Electric Furnace,,,,35000-39999,1,50%,102%,Occupied,Electric Standard,Electricity,0.0,0.0,23.51,0,30,6135.442854055472,143.8978954545611,0.0,0.0,1010.21597888365,9528.033562369115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9528.033562369115,0.0,21391.0,2268.0,6.2473,9.4177,0.0,18.059,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Low
1025,0,623,64828.0,30-60%,,1,Marine,In another census Place,G5300330,,50 or more Unit,3,Electricity,70F,Yes,12F,Night -1h,"AC, SEER 13",100% Conditioned,Central AC,"Electric Furnace, 100% AFUE",Ducted Heating,Electricity Electric Furnace,,,,60000-69999,4,50%,91%,Occupied,Electric Standard,Electricity,4.89,0.0,6.5,0,30,721.2479036938388,5.568350333272222,0.0,0.0,2074.357034678989,6650.368724348066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6650.368724348066,8481.0,2469.0,5980.0,6.6665,7.9285,4.725,6.782,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Low
1122,0,1228,74986.0,60-80%,,1,Marine,Not in a census Place,G5300350,,Single-Family Detached,1,Natural Gas,67F,No,0F,,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,70000-79999,5,100%,94%,Occupied,Electric Standard,Electricity,8.19,0.0,18.7,0,30,0.0,121.91756519164444,0.0,0.0,5638.980461183728,16096.049315998787,0.0,0.0,0.0,0.0,4841.2410081749385,0.0,0.0,4841.2410081749385,0.0,0.0,0.0,0.0,20937.29032417373,4648.0,13630.0,18179.0,8.6861,8.5756,7.472,15.992,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Low
1386,0,273,19323.0,30-60%,,1,Marine,In another census Place,G5300290,,Single-Family Attached,1,Electricity,62F,Yes,3F,Night +4h,"AC, SEER 13",100% Conditioned,Central AC,"Electric Furnace, 100% AFUE",Ducted Heating,Electricity Electric Furnace,,,,15000-19999,1,100%,96%,Occupied,Electric Standard,Electricity,7.72,0.0,11.62,0,30,944.8611302352444,9.378274245511111,0.0,0.0,1688.9685774025163,5791.084346603112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.7645624237723,0.0,0.0,0.0,0.0,7141.848909026884,4082.0,3259.0,4627.0,4.5831,7.635800000000001,8.795,16.834,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Low
1520,0,2179,54023.0,60-80%,,3,Marine,In another census Place,G5300330,,Single-Family Detached,2,Electricity,72F,Yes,3F,Night -3h,,,,"Electric Furnace, 100% AFUE",Ducted Heating,Electricity Electric Furnace,,,,50000-59999,1,200%,94%,Occupied,Electric Premium,Electricity,0.0,0.0,54.05,0,50,22793.30941157441,531.0447791520667,0.0,0.0,2222.3579251159613,32925.36244956848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32925.36244956848,0.0,79410.0,6965.0,12.6781,21.4996,0.0,51.203,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Low
1628,0,1698,22473.0,0-30%,,4,Marine,In another census Place,G5300330,,Single-Family Detached,2,Natural Gas,68F,Yes,6F,Night -3h,"AC, SEER 13",80% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,20000-24999,2,50%,94%,Occupied,Natural Gas Standard,Natural Gas,26.1,0.0,58.92,0,40,0.0,619.2591712739055,0.0,0.0,0.0,4338.331051759405,0.0,0.0,0.0,0.0,25549.64282654416,0.0,3046.180703370078,28595.530458844067,0.0,0.0,0.0,0.0,32933.86151060347,8231.0,71444.0,3833.0,5.1223,3.9427,22.543,56.158,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Low
1892,0,1682,17504.0,0-30%,,3,Cold,In another census Place,G5300770,,2 Unit,2,Electricity,68F,Yes,3F,Night +2h,"Room AC, EER 12.0",20% Conditioned,Room AC,Shared Heating,Non-Ducted Heating,Electricity Shared Heating,,,,15000-19999,3,100%,101%,Occupied,Electric Standard,Electricity,3.28,0.0,45.73,0,50,15982.337740771964,119.57299663026666,0.0,0.0,3001.6339007039,24036.51689124498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24036.51689124498,4120.0,52301.0,9111.0,8.0852,16.945,4.912,43.931,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA,Low
