Feeder,Parquet_Folder,Parquet_File,REAL_LOAD_COUNT
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,333748-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,333918-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,333921-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,334804-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,334986-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335012-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335152-2.parquet,3
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335179-9.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335334-9.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335360-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335510-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335533-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335643-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335651-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335654-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335676-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335870-2.parquet,4
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,336394-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,336397-2.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,336551-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,336808-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,336945-2.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,336985-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,337382-9.parquet,1
