folder,building_id,baseline_demand,uncontrolled_demand,demand_management_demand,uncontrolled_scenario_name,demand_management_scenario_name,uncontrolled_diff,demand_management_diff,uncontrolled_scenario_id,demand_management_scenario_id
parquet_commercial_202512_comm_WA,333461,3360517.762924459,3360517.762924459,3360517.762924459,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_WA,333472,1008856.9676769807,1571228.5285251804,1008856.9676769807,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",562371.5608481998,0.0,8,2
parquet_commercial_202512_comm_WA,333476,2990100.354053146,2990100.354053146,2990100.354053146,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_WA,333488,3335251.7567976685,3199396.7112919977,3197039.2910874523,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",-135855.04550567083,-138212.4657102162,1,2
parquet_commercial_202512_comm_WA,333513,425565.90381169575,325527.48274350335,325527.47956081753,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",-100038.4210681924,-100038.42425087822,1,2
parquet_commercial_202512_comm_WA,333520,167545.10434355403,130422.92115924116,130422.92115924583,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",-37122.183184312875,-37122.1831843082,1,2
parquet_commercial_202512_comm_WA,333523,273878.1234164369,256196.454087514,255483.28112468065,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",-17681.6693289229,-18394.842291756242,1,2
parquet_commercial_202512_comm_WA,333529,463577.3670118206,504343.1823544589,463577.3670118206,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",40765.81534263829,0.0,1,9
parquet_commercial_202512_comm_WA,333542,512041.5330692205,512041.5330692205,512041.5330692205,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_WA,333544,873530.0289549701,867341.0231397734,862998.0479822988,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",-6189.005815196666,-10531.9809726713,1,2
parquet_commercial_202512_comm_WA,333560,326680.5960707725,405818.24121379666,326680.5960707725,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",79137.64514302416,0.0,8,2
parquet_commercial_202512_comm_WA,333591,158126.5229509046,163403.62645654028,158126.5229509046,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",5277.103505635692,0.0,1,9
parquet_commercial_202512_comm_WA,333598,4172581.622123112,3770696.260582637,3724447.2438810626,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",-401885.3615404749,-448134.37824204937,1,2
