Feeder,Parquet_Folder,Parquet_File,REAL_LOAD_COUNT
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,333748-8.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,333918-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,333921-8.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,334804-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,334986-8.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335012-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335152-1.parquet,3
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335179-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335334-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335360-8.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335510-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335533-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335643-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335651-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335654-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335676-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,335870-1.parquet,4
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,336394-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,336397-1.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,336551-8.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,336808-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,336945-1.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,336985-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,337382-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,337443-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,338070-1.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,338472-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,338493-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,338696-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,338708-1.parquet,6
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,338780-8.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,339000-1.parquet,4
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,339143-1.parquet,3
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,339486-1.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,339770-1.parquet,3
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,340013-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,340125-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_WA,340141-1.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,108256-1.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,111041-1.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,119046-1.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,120029-1.parquet,8
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,121667-1.parquet,5
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,123304-1.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,130974-1.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,131252-1.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,133343-1.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,136994-1.parquet,34
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,137142-1.parquet,36
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,13867-1.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,140736-1.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,149798-1.parquet,9
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,150059-1.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,151684-1.parquet,13
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,161885-1.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,163245-1.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,166933-1.parquet,12
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,170952-1.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_WA,175581-1.parquet,7
