P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),hour,timestep, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3,circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
,,,0.0,1,900.0,7415.54,-2.69625e-05,7415.54,-120.0,7415.54,120.0,467.559,-13.1209,475.419,-132.98,470.511,107.581,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,0.0,2,1800.0,7415.54,-2.51211e-05,7415.54,-120.0,7415.54,120.0,426.268,-12.3332,432.095,-132.094,436.618,108.316,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,0.0,3,2700.0,7415.54,-2.44452e-05,7415.54,-120.0,7415.54,120.0,409.611,-11.8658,422.753,-131.849,419.471,108.595,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,4,0.0,7415.54,-2.34442e-05,7415.54,-120.0,7415.54,120.0,389.631,-11.5561,403.51,-131.686,406.408,108.737,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,5,900.0,7415.54,-2.29783e-05,7415.54,-120.0,7415.54,120.0,381.594,-11.5263,382.381,-131.687,394.185,108.845,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,6,1800.0,7415.54,-2.14664e-05,7415.54,-120.0,7415.54,120.0,359.819,-11.8743,354.178,-131.767,365.138,108.645,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,7,2700.0,7415.54,-2.1611e-05,7415.54,-120.0,7415.54,120.0,367.104,-12.3682,347.641,-132.0,357.752,108.275,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,8,0.0,7415.54,-2.04014e-05,7415.54,-120.0,7415.54,120.0,335.275,-11.1229,327.52,-130.789,335.51,109.515,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,9,900.0,7415.54,-2.0056e-05,7415.54,-120.0,7415.54,120.0,322.862,-10.3158,310.55,-130.315,320.411,110.188,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,10,1800.0,7415.54,-1.88315e-05,7415.54,-120.0,7415.54,120.0,303.183,-10.3177,295.576,-129.868,307.535,110.41,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,11,2700.0,7415.54,-1.82725e-05,7415.54,-120.0,7415.54,120.0,288.587,-9.54386,286.271,-129.431,291.705,111.241,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,3.0,12,0.0,7415.54,-1.76126e-05,7415.54,-120.0,7415.54,120.0,273.495,-8.84264,271.965,-128.894,275.914,111.794,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,3.0,13,900.0,7415.54,-1.71015e-05,7415.54,-120.0,7415.54,120.0,265.603,-8.84817,268.367,-128.788,269.616,111.91,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,3.0,14,1800.0,7415.54,-1.67775e-05,7415.54,-120.0,7415.54,120.0,259.974,-8.75108,260.91,-128.479,265.723,111.817,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,3.0,15,2700.0,7415.54,-1.59158e-05,7415.54,-120.0,7415.54,120.0,252.651,-9.74487,255.441,-129.726,262.31,110.811,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,4.0,16,0.0,7415.54,-1.5936e-05,7415.54,-120.0,7415.54,120.0,250.553,-9.35283,252.291,-129.569,254.292,111.286,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,4.0,17,900.0,7415.54,-1.60006e-05,7415.54,-120.0,7415.54,120.0,244.655,-8.18323,247.975,-128.394,246.512,112.475,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,4.0,18,1800.0,7415.54,-1.59491e-05,7415.54,-120.0,7415.54,120.0,238.339,-7.18163,240.844,-127.556,239.707,113.22,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,4.0,19,2700.0,7415.54,-1.58519e-05,7415.54,-120.0,7415.54,120.0,232.406,-6.31904,238.552,-126.793,232.126,114.344,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,5.0,20,0.0,7415.54,-1.5606e-05,7415.54,-120.0,7415.54,120.0,227.057,-5.96481,233.438,-126.341,226.875,114.658,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,5.0,21,900.0,7415.54,-1.55108e-05,7415.54,-120.0,7415.54,120.0,223.537,-5.51941,229.591,-125.816,224.763,114.892,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,5.0,22,1800.0,7415.54,-1.61046e-05,7415.54,-120.0,7415.54,120.0,234.072,-5.91903,240.824,-126.257,232.648,114.542,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
