substation,feeder_name,circuit_folder,mix,season,share_baseline,share_dm,share_un,n_daily_baseline,n_daily_dm,n_daily_un,N_daily_total,n_base_baseline,n_base_dm,n_base_un,N_base_total
uhs0_1247,uhs0_1247--udt12274,uhs0_1247_circuit_1_0,0,summer,0.2,0.0,0.8,53,0,150,203,216,0,1405,1621
uhs0_1247,uhs0_1247--udt12274,uhs0_1247_circuit_1_1,1,summer,0.2,0.6,0.2,40,129,34,203,436,933,252,1621
uhs0_1247,uhs0_1247--udt14717,uhs0_1247_circuit_2_0,0,summer,0.2,0.0,0.8,63,0,229,292,350,0,1475,1825
uhs0_1247,uhs0_1247--udt14717,uhs0_1247_circuit_2_1,1,summer,0.2,0.6,0.2,62,176,54,292,385,1230,210,1825
uhs0_1247,uhs0_1247--udt16115,uhs0_1247_circuit_3_0,0,summer,0.2,0.0,0.8,17,0,83,100,42,0,258,300
uhs0_1247,uhs0_1247--udt16115,uhs0_1247_circuit_3_1,1,summer,0.2,0.6,0.2,18,62,20,100,42,230,28,300
uhs10_1247,uhs10_1247--udt11713,uhs10_1247_circuit_33_0,0,summer,0.2,0.0,0.8,59,0,212,271,342,0,708,1050
uhs10_1247,uhs10_1247--udt11713,uhs10_1247_circuit_33_1,1,summer,0.2,0.6,0.2,46,170,55,271,195,737,118,1050
uhs10_1247,uhs10_1247--udt12084,uhs10_1247_circuit_34_0,0,summer,0.2,0.0,0.8,41,0,195,236,283,0,958,1241
uhs10_1247,uhs10_1247--udt12084,uhs10_1247_circuit_34_1,1,summer,0.2,0.6,0.2,52,134,50,236,245,559,437,1241
uhs10_1247,uhs10_1247--udt13528,uhs10_1247_circuit_35_0,0,summer,0.2,0.0,0.8,30,0,174,204,63,0,523,586
uhs10_1247,uhs10_1247--udt13528,uhs10_1247_circuit_35_1,1,summer,0.2,0.6,0.2,40,127,37,204,87,420,79,586
uhs11_1247,uhs11_1247--udt7105,uhs11_1247_circuit_37_0,0,summer,0.2,0.0,0.8,41,0,158,199,358,0,787,1145
uhs11_1247,uhs11_1247--udt7105,uhs11_1247_circuit_37_1,1,summer,0.2,0.6,0.2,36,123,40,199,221,760,164,1145
uhs11_1247,uhs11_1247--udt8110,uhs11_1247_circuit_38_0,0,summer,0.2,0.0,0.8,45,0,203,248,160,0,1404,1564
uhs11_1247,uhs11_1247--udt8110,uhs11_1247_circuit_38_1,1,summer,0.2,0.6,0.2,53,132,63,248,157,783,624,1564
