hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 1054.95, 16.69, 1067.63, 17.2581, 1141.49, 16.832
0, 1800.00000, 1012.3, 16.6871, 1029.48, 17.0955, 1094.36, 16.6065
0, 2700.00000, 968.853, 16.4883, 975.633, 16.8612, 1091.83, 16.2828
1, 0.00000, 943.511, 16.9067, 948.479, 17.478, 1068.16, 16.6482
1, 900.00000, 943.128, 17.0795, 926.649, 18.1841, 1056.43, 16.5451
1, 1800.00000, 943.925, 19.2489, 909.909, 20.571, 1006.99, 18.995
1, 2700.00000, 957.818, 19.0708, 902.273, 20.5992, 983.045, 19.4017
2, 0.00000, 888.188, 16.8735, 845.034, 18.2239, 919.545, 17.9058
2, 900.00000, 866.194, 16.0022, 825, 17.3374, 913.374, 17.2212
2, 1800.00000, 842.52, 16.1348, 827.299, 17.3608, 861.149, 17.2095
2, 2700.00000, 818.687, 15.3789, 786.692, 16.4218, 838.195, 16.6917
3, 0.00000, 812.465, 15.4204, 784.726, 16.528, 825.401, 16.8581
3, 900.00000, 798.24, 16.4374, 779.669, 17.3721, 809.04, 17.5546
3, 1800.00000, 789.339, 16.6831, 772.967, 17.6307, 798.107, 17.678
3, 2700.00000, 789.982, 19.5002, 773.923, 20.5152, 809.031, 20.4566
4, 0.00000, 783.464, 19.3557, 764.298, 20.3326, 799.255, 20.3583
4, 900.00000, 758.281, 16.7379, 741.562, 17.7908, 780.061, 17.6736
4, 1800.00000, 754.17, 16.2567, 734.074, 17.2163, 773.894, 17.1348
4, 2700.00000, 743.159, 15.5535, 719.912, 16.1175, 778.689, 15.8802
5, 0.00000, 723.769, 15.1158, 716.246, 15.6333, 771.361, 15.4546
5, 900.00000, 725.105, 14.626, 716.566, 15.1199, 772.345, 15.0237
5, 1800.00000, 740.176, 14.865, 732.468, 15.3074, 784.958, 15.1634
5, 2700.00000, 726.63, 15.5395, 721.318, 16.1271, 772.397, 15.9291
6, 0.00000, 720.014, 15.2574, 714.441, 15.8136, 767.582, 15.7743
6, 900.00000, 717.432, 15.3702, 712.857, 15.9497, 764.141, 15.8322
6, 1800.00000, 731.84, 18.0687, 728.254, 18.5431, 776.413, 18.2245
6, 2700.00000, 738.736, 17.7717, 724.543, 18.2217, 774.196, 18.1497
7, 0.00000, 729.795, 15.0701, 709.804, 15.4315, 762.6, 15.5084
7, 900.00000, 738, 16.6143, 713.86, 17.3511, 768.506, 16.9558
7, 1800.00000, 995.478, 16.7546, 963.449, 17.2549, 1018.7, 16.9221
7, 2700.00000, 1039.22, 14.5664, 1017.28, 15.1096, 1070.31, 14.9499
8, 0.00000, 1038.67, 15.4843, 1010.49, 15.9724, 1039.44, 16.1207
8, 900.00000, 1058.53, 15.792, 1019.85, 16.3132, 1059.18, 16.4847
