hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 7415.54, -6.50298E-006, 7415.54, -120, 7415.54, 120, 131.956, -18.1051, 133.976, -138.511, 149.17, 102.442
0, 1800.00000, 7415.54, -8.02188E-006, 7415.54, -120, 7415.54, 120, 148.967, -15.3953, 147.059, -136.129, 155.367, 104.098
0, 2700.00000, 7415.54, -7.68869E-006, 7415.54, -120, 7415.54, 120, 142.135, -15.2441, 141.563, -135.644, 151.104, 104.036
1, 0.00000, 7415.54, -7.11993E-006, 7415.54, -120, 7415.54, 120, 134.725, -15.9896, 138.829, -136.07, 145.659, 103.483
1, 900.00000, 7415.54, -7.14783E-006, 7415.54, -120, 7415.54, 120, 135.575, -16.0655, 135.954, -136.692, 139.999, 103.164
1, 1800.00000, 7415.54, -6.3887E-006, 7415.54, -120, 7415.54, 120, 131.97, -18.6162, 126.785, -139.799, 134.448, 100.785
1, 2700.00000, 7415.54, -6.22028E-006, 7415.54, -120, 7415.54, 120, 130.042, -18.9523, 124.97, -139.987, 133.898, 100.77
2, 0.00000, 7415.54, -5.998E-006, 7415.54, -120, 7415.54, 120, 117.831, -17.1368, 116.166, -137.765, 123.473, 102.006
2, 900.00000, 7415.54, -5.8648E-006, 7415.54, -120, 7415.54, 120, 112.886, -16.5082, 114.359, -136.75, 123.479, 102.828
2, 1800.00000, 7415.54, -5.59764E-006, 7415.54, -120, 7415.54, 120, 108.739, -16.7875, 112.207, -136.936, 118.126, 103.122
2, 2700.00000, 7415.54, -5.49334E-006, 7415.54, -120, 7415.54, 120, 104.506, -16.1343, 108.156, -135.931, 113.127, 103.383
3, 0.00000, 7415.54, -5.43825E-006, 7415.54, -120, 7415.54, 120, 103.628, -16.1849, 106.876, -136.162, 112.305, 103.36
3, 900.00000, 7415.54, -5.22351E-006, 7415.54, -120, 7415.54, 120, 102.656, -17.1342, 105.734, -137.219, 110.068, 102.678
3, 1800.00000, 7415.54, -5.11492E-006, 7415.54, -120, 7415.54, 120, 101.46, -17.4117, 104.334, -137.391, 108.563, 102.562
3, 2700.00000, 7415.54, -4.6786E-006, 7415.54, -120, 7415.54, 120, 102.494, -20.198, 104.506, -140.284, 110.056, 99.8
4, 0.00000, 7415.54, -4.66347E-006, 7415.54, -120, 7415.54, 120, 101.607, -20.0527, 103.24, -140.119, 108.743, 99.9016
4, 900.00000, 7415.54, -5.03434E-006, 7415.54, -120, 7415.54, 120, 99.1721, -17.2014, 101.236, -137.423, 106.235, 102.565
4, 1800.00000, 7415.54, -5.08694E-006, 7415.54, -120, 7415.54, 120, 98.5941, -16.7069, 100.203, -136.853, 105.438, 103.098
4, 2700.00000, 7415.54, -5.19384E-006, 7415.54, -120, 7415.54, 120, 97.9576, -15.8532, 99.2589, -135.611, 105.213, 104.207
5, 0.00000, 7415.54, -5.19512E-006, 7415.54, -120, 7415.54, 120, 96.2519, -15.2774, 97.8242, -135.285, 103.278, 104.489
5, 900.00000, 7415.54, -5.28377E-006, 7415.54, -120, 7415.54, 120, 96.4208, -14.7783, 97.8833, -134.779, 103.409, 104.929
5, 1800.00000, 7415.54, -5.35787E-006, 7415.54, -120, 7415.54, 120, 98.4852, -15.0211, 100.329, -135.008, 105.464, 104.758
5, 2700.00000, 7415.54, -5.14922E-006, 7415.54, -120, 7415.54, 120, 96.6848, -15.7096, 98.6787, -135.798, 103.464, 104.014
6, 0.00000, 7415.54, -5.14669E-006, 7415.54, -120, 7415.54, 120, 95.7917, -15.4254, 97.8221, -135.493, 102.973, 104.149
6, 900.00000, 7415.54, -5.10963E-006, 7415.54, -120, 7415.54, 120, 95.4476, -15.5422, 97.6045, -135.628, 102.479, 104.093
6, 1800.00000, 7415.54, -4.69922E-006, 7415.54, -120, 7415.54, 120, 96.5248, -18.4242, 99.7093, -138.161, 104.23, 101.716
6, 2700.00000, 7415.54, -4.6815E-006, 7415.54, -120, 7415.54, 120, 96.0092, -18.3784, 97.6454, -138.118, 103.346, 101.689
7, 0.00000, 7415.54, -5.0274E-006, 7415.54, -120, 7415.54, 120, 94.2606, -15.66, 95.1804, -135.403, 101.25, 104.282
7, 900.00000, 7415.54, -4.71176E-006, 7415.54, -120, 7415.54, 120, 93.9001, -17.5413, 96.1732, -137.271, 101.521, 102.722
7, 1800.00000, 7415.54, -6.45631E-006, 7415.54, -120, 7415.54, 120, 128.354, -17.5016, 128.712, -137.405, 134.021, 102.65
7, 2700.00000, 7415.54, -7.15092E-006, 7415.54, -120, 7415.54, 120, 132.353, -15.2774, 135.105, -135.22, 140.088, 104.701
8, 0.00000, 7415.54, -6.83569E-006, 7415.54, -120, 7415.54, 120, 131.239, -16.4434, 132.155, -136.4, 136.748, 103.513
8, 900.00000, 7415.54, -6.80478E-006, 7415.54, -120, 7415.54, 120, 132.644, -16.9116, 133.07, -136.799, 139.048, 103.098
8, 1800.00000, 7415.54, -6.86505E-006, 7415.54, -120, 7415.54, 120, 124.89, -14.703, 127.232, -134.716, 132.721, 104.894
8, 2700.00000, 7415.54, -5.40611E-006, 7415.54, -120, 7415.54, 120, 107.467, -17.4821, 109.138, -137.356, 113.811, 102.405
