hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 900.00000, 0.166914, -0.0268318, 0.166989, 0.0404436, 0.166797, -0.013672, 0, 0
0, 1800.00000, 0.166888, -0.0380084, 0.167005, 0.0399322, 0.166808, -0.00194912, 0, 0
0, 2700.00000, 0.16689, -0.036737, 0.167005, 0.0367469, 0.166806, -2.81553E-005, 0, 0
1, 0.00000, 0.166893, -0.0228176, 0.166964, 0.0211714, 0.166843, 0.00165895, 0, 0
1, 900.00000, 0.166907, -0.0218271, 0.166963, 0.0277011, 0.16683, -0.00587975, 0, 0
1, 1800.00000, 0.166873, -0.0359181, 0.166989, 0.0286784, 0.166838, 0.00721539, 0, 0
1, 2700.00000, 0.166906, -0.0212409, 0.166957, 0.0247166, 0.166836, -0.00347309, 0, 0
2, 0.00000, 0.166906, -0.0174576, 0.16695, 0.0186466, 0.166845, -0.00117627, 0, 0
2, 900.00000, 0.166932, -0.00622408, 0.16693, 0.0170789, 0.166838, -0.0108509, 0, 0
2, 1800.00000, 0.166929, -0.000693055, 0.166911, 0.0107678, 0.166859, -0.00984794, 0, 0
2, 2700.00000, 0.166925, -0.000163603, 0.166913, 0.0085155, 0.166862, -0.00787316, 0, 0
3, 0.00000, 0.16692, -0.000999388, 0.166914, 0.00772594, 0.166867, -0.00672779, 0, 0
3, 900.00000, 0.166916, -0.000525997, 0.166909, 0.00662376, 0.166875, -0.00609639, 0, 0
3, 1800.00000, 0.166919, 0.00093585, 0.166904, 0.00584647, 0.166877, -0.00676402, 0, 0
3, 2700.00000, 0.166918, 0.00018269, 0.166906, 0.00617973, 0.166876, -0.00642103, 0, 0
4, 0.00000, 0.166913, -0.00103267, 0.16691, 0.0063036, 0.166876, -0.00531963, 0, 0
4, 900.00000, 0.166914, -0.000806825, 0.166909, 0.00634291, 0.166878, -0.00529433, 0, 0
4, 1800.00000, 0.166909, -0.0021746, 0.166913, 0.0064126, 0.166878, -0.0042384, 0, 0
4, 2700.00000, 0.166908, -0.000148773, 0.166911, 0.00469257, 0.166881, -0.00452247, 0, 0
5, 0.00000, 0.166914, -0.000278687, 0.166908, 0.00561705, 0.166878, -0.00533701, 0, 0
5, 900.00000, 0.166915, -0.000276916, 0.166908, 0.00577713, 0.166878, -0.00541206, 0, 0
5, 1800.00000, 0.166919, 0.000611554, 0.166904, 0.00560012, 0.166877, -0.00636811, 0, 0
5, 2700.00000, 0.16692, 0.000114245, 0.166903, 0.00572036, 0.166877, -0.00575676, 0, 0
6, 0.00000, 0.166921, -0.000192776, 0.166904, 0.00623393, 0.166874, -0.00597995, 0, 0
6, 900.00000, 0.166921, -0.000152485, 0.166904, 0.00618442, 0.166875, -0.00600418, 0, 0
6, 1800.00000, 0.166917, 0.00269434, 0.166899, 0.00301985, 0.166884, -0.0058718, 0, 0
6, 2700.00000, 0.166915, 0.00011523, 0.166906, 0.00526375, 0.166879, -0.00537934, 0, 0
