hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 900.00000, 5.25011, 0.0830809, 5.24013, -0.0821328, 5.25662, -0.00167512, 0, 0
0, 1800.00000, 5.24936, 0.073238, 5.24101, -0.0817859, 5.25647, 0.00838184, 0, 0
0, 2700.00000, 5.25004, 0.0727903, 5.24149, -0.0728475, 5.25532, -3.23945E-005, 0, 0
1, 0.00000, 5.2499, 0.0667972, 5.24216, -0.0691563, 5.25479, 0.00228349, 0, 0
1, 900.00000, 5.2488, 0.0586364, 5.24255, -0.073791, 5.2555, 0.0150515, 0, 0
1, 1800.00000, 5.24911, 0.0462421, 5.24369, -0.0517361, 5.25404, 0.00544617, 0, 0
1, 2700.00000, 5.24849, 0.0338854, 5.24473, -0.0431732, 5.25362, 0.00924098, 0, 0
2, 0.00000, 5.2493, 0.0391294, 5.24462, -0.0423962, 5.25293, 0.0032985, 0, 0
2, 900.00000, 5.24957, 0.039462, 5.24473, -0.0398976, 5.25254, 0.000412336, 0, 0
2, 1800.00000, 5.24941, 0.0387088, 5.24472, -0.0385352, 5.25277, 0.000494868, 0, 0
2, 2700.00000, 5.24938, 0.0338271, 5.24534, -0.0342395, 5.25219, 0.00111489, 0, 0
3, 0.00000, 5.24971, 0.0307558, 5.24558, -0.0274376, 5.25155, -0.00332756, 0, 0
3, 900.00000, 5.24973, 0.0322049, 5.24534, -0.0288923, 5.25178, -0.00333792, 0, 0
3, 1800.00000, 5.24967, 0.0314345, 5.24547, -0.0279774, 5.25173, -0.00315838, 0, 0
3, 2700.00000, 5.24972, 0.026652, 5.2459, -0.0218592, 5.25113, -0.00535653, 0, 0
4, 0.00000, 5.24969, 0.0255901, 5.24609, -0.0209914, 5.25108, -0.00439226, 0, 0
4, 900.00000, 5.24977, 0.0267043, 5.24597, -0.0213438, 5.25119, -0.00468107, 0, 0
4, 1800.00000, 5.24975, 0.0259662, 5.24606, -0.0207484, 5.25103, -0.0052246, 0, 0
4, 2700.00000, 5.24967, 0.0237972, 5.24643, -0.0185474, 5.25078, -0.00493522, 0, 0
5, 0.00000, 5.24966, 0.0229382, 5.2465, -0.0179341, 5.25067, -0.00500855, 0, 0
5, 900.00000, 5.24966, 0.0221614, 5.24661, -0.0171912, 5.25058, -0.00494579, 0, 0
5, 1800.00000, 5.2495, 0.0236768, 5.24644, -0.0206444, 5.25087, -0.00339858, 0, 0
5, 2700.00000, 5.24949, 0.02317, 5.24658, -0.0199274, 5.25078, -0.00310463, 0, 0
6, 0.00000, 5.24956, 0.0228816, 5.24667, -0.0195894, 5.25063, -0.0032018, 0, 0
6, 900.00000, 5.24954, 0.0231619, 5.24664, -0.019832, 5.25066, -0.00329627, 0, 0
6, 1800.00000, 5.24965, 0.0240553, 5.24645, -0.0207318, 5.25065, -0.00392528, 0, 0
6, 2700.00000, 5.24942, 0.0223976, 5.24673, -0.0201442, 5.25069, -0.00226296, 0, 0
7, 0.00000, 5.24937, 0.0203867, 5.24703, -0.0178834, 5.25054, -0.00175091, 0, 0
7, 900.00000, 5.24956, 0.0215828, 5.24677, -0.0176123, 5.25046, -0.00423434, 0, 0
7, 1800.00000, 5.24956, 0.0237109, 5.24644, -0.0202888, 5.25083, -0.0035403, 0, 0
7, 2700.00000, 5.2498, 0.0240927, 5.24651, -0.0190353, 5.25054, -0.00507385, 0, 0
8, 0.00000, 5.24973, 0.0224898, 5.24667, -0.0179518, 5.25044, -0.00463608, 0, 0
8, 900.00000, 5.25001, 0.0258252, 5.24629, -0.0187315, 5.25054, -0.00711664, 0, 0
8, 1800.00000, 5.24976, 0.0255531, 5.24642, -0.0222017, 5.25065, -0.00333269, 0, 0
8, 2700.00000, 5.24978, 0.0268553, 5.24646, -0.0221274, 5.25084, -0.00246351, 0, 0
9, 0.00000, 5.24989, 0.036616, 5.24493, -0.0331019, 5.25201, -0.00357047, 0, 0
9, 900.00000, 5.24987, 0.0338326, 5.2453, -0.0303094, 5.25167, -0.0035554, 0, 0
9, 1800.00000, 5.24962, 0.028852, 5.24593, -0.026563, 5.25127, -0.00245212, 0, 0
9, 2700.00000, 5.24991, 0.0411109, 5.24438, -0.0379584, 5.25254, -0.00323112, 0, 0
10, 0.00000, 5.24987, 0.0381556, 5.24472, -0.0352773, 5.25196, -0.00427999, 0, 0
10, 900.00000, 5.25001, 0.038939, 5.24473, -0.0347193, 5.2521, -0.00432511, 0, 0
10, 1800.00000, 5.24916, 0.030845, 5.24545, -0.0326126, 5.25223, 0.00174897, 0, 0
10, 2700.00000, 5.24953, 0.0360505, 5.24479, -0.0358426, 5.25252, -0.000271593, 0, 0
11, 0.00000, 5.2501, 0.0338078, 5.24525, -0.0283257, 5.25148, -0.00556999, 0, 0
11, 900.00000, 5.25038, 0.0333813, 5.24526, -0.0243609, 5.25119, -0.00911444, 0, 0
11, 1800.00000, 5.25022, 0.0311409, 5.24567, -0.0229289, 5.25095, -0.00826688, 0, 0
11, 2700.00000, 5.25017, 0.0310654, 5.24563, -0.0233659, 5.25102, -0.00782655, 0, 0
12, 0.00000, 5.25, 0.0284209, 5.24593, -0.0220833, 5.25087, -0.00661287, 0, 0
12, 900.00000, 5.25044, 0.034128, 5.24529, -0.025147, 5.25111, -0.00905138, 0, 0
12, 1800.00000, 5.25017, 0.0305177, 5.24569, -0.0238727, 5.25096, -0.00678907, 0, 0
12, 2700.00000, 5.25048, 0.0348784, 5.24521, -0.0262291, 5.25114, -0.00873205, 0, 0
13, 0.00000, 5.25102, 0.0389623, 5.24482, -0.023699, 5.25099, -0.0153218, 0, 0
13, 900.00000, 5.25073, 0.0453615, 5.24409, -0.0342996, 5.25202, -0.0111161, 0, 0
13, 1800.00000, 5.25015, 0.0346113, 5.24519, -0.0272756, 5.25149, -0.00738878, 0, 0
13, 2700.00000, 5.24981, 0.036552, 5.24485, -0.0365929, 5.25218, -1.52774E-005, 0, 0
14, 0.00000, 5.25053, 0.052801, 5.24271, -0.0483105, 5.25357, -0.00460342, 0, 0
14, 900.00000, 5.25142, 0.0681094, 5.24124, -0.0563303, 5.2542, -0.0118162, 0, 0
14, 1800.00000, 5.2503, 0.0538828, 5.24293, -0.0488399, 5.25363, -0.00508794, 0, 0
14, 2700.00000, 5.25041, 0.0578099, 5.24242, -0.0524462, 5.254, -0.00545582, 0, 0
15, 0.00000, 5.25011, 0.0623705, 5.24163, -0.0606017, 5.2551, -0.00188654, 0, 0
15, 900.00000, 5.25032, 0.0596409, 5.24183, -0.0584103, 5.25471, -0.00131948, 0, 0
15, 1800.00000, 5.25112, 0.0708042, 5.24089, -0.0617623, 5.25482, -0.00918933, 0, 0
15, 2700.00000, 5.25099, 0.0721471, 5.24068, -0.0654198, 5.25517, -0.00688154, 0, 0
16, 0.00000, 5.25084, 0.0752721, 5.24058, -0.0695114, 5.25543, -0.00588116, 0, 0
16, 900.00000, 5.25049, 0.0765684, 5.2403, -0.0737649, 5.25607, -0.00283009, 0, 0
16, 1800.00000, 5.2506, 0.0731624, 5.24065, -0.0693652, 5.25565, -0.00367739, 0, 0
16, 2700.00000, 5.25053, 0.0695741, 5.24122, -0.065647, 5.25512, -0.00396846, 0, 0
17, 0.00000, 5.25031, 0.0711079, 5.24103, -0.0685028, 5.25552, -0.00270884, 0, 0
17, 900.00000, 5.25087, 0.0864981, 5.23941, -0.0813803, 5.25657, -0.00530507, 0, 0
17, 1800.00000, 5.25027, 0.077283, 5.24001, -0.07972, 5.25657, 0.00229472, 0, 0
17, 2700.00000, 5.25031, 0.0786537, 5.23999, -0.0815161, 5.25655, 0.00269897, 0, 0
18, 0.00000, 5.25045, 0.0782733, 5.23975, -0.0815847, 5.25665, 0.00310626, 0, 0
18, 900.00000, 5.2499, 0.0888175, 5.2386, -0.101365, 5.25836, 0.012321, 0, 0
18, 1800.00000, 5.25003, 0.0951025, 5.23796, -0.108742, 5.25886, 0.0133259, 0, 0
18, 2700.00000, 5.24942, 0.0864435, 5.23873, -0.109528, 5.25871, 0.0228493, 0, 0
19, 0.00000, 5.24919, 0.0869674, 5.23881, -0.113971, 5.25886, 0.0267686, 0, 0
19, 900.00000, 5.24899, 0.087059, 5.23915, -0.114614, 5.25873, 0.0273565, 0, 0
19, 1800.00000, 5.24859, 0.0828343, 5.23964, -0.113356, 5.25863, 0.0302813, 0, 0
19, 2700.00000, 5.24851, 0.0883238, 5.23879, -0.122007, 5.25956, 0.0333876, 0, 0
20, 0.00000, 5.24862, 0.0887117, 5.23843, -0.121664, 5.25981, 0.0326203, 0, 0
20, 900.00000, 5.24861, 0.0889839, 5.23835, -0.122493, 5.2599, 0.0331878, 0, 0
20, 1800.00000, 5.24807, 0.0934243, 5.23869, -0.135022, 5.26011, 0.0412845, 0, 0
20, 2700.00000, 5.24717, 0.0869207, 5.23921, -0.136192, 5.26048, 0.0489547, 0, 0
21, 0.00000, 5.24686, 0.103575, 5.23745, -0.161419, 5.26256, 0.057329, 0, 0
21, 900.00000, 5.24704, 0.100892, 5.23772, -0.154482, 5.26211, 0.0531826, 0, 0
21, 1800.00000, 5.24741, 0.101017, 5.23704, -0.15304, 5.26242, 0.0515651, 0, 0
