P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),hour,timestep, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3,circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
,,,0.0,1,900.0,7415.53,-3.60977e-05,7415.54,-120.0,7415.53,120.0,785.135,-20.1028,750.673,-140.192,768.352,99.7727,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,0.0,2,1800.0,7415.53,-3.44071e-05,7415.54,-120.0,7415.53,120.0,781.425,-21.2222,739.12,-140.861,767.349,98.8521,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,0.0,3,2700.0,7415.53,-3.43681e-05,7415.53,-120.0,7415.53,120.0,788.526,-21.4777,749.892,-141.167,769.831,98.8054,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,4,0.0,7415.53,-3.54273e-05,7415.53,-120.0,7415.53,120.0,821.919,-21.7537,781.675,-141.392,811.197,98.4331,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,5,900.0,7415.53,-3.45001e-05,7415.53,-120.0,7415.53,120.0,804.255,-21.8709,771.959,-141.525,790.015,98.3691,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,6,1800.0,7415.53,-3.30258e-05,7415.54,-120.0,7415.53,120.0,771.943,-21.9356,744.351,-141.49,755.707,98.4374,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,7,2700.0,7415.53,-3.26182e-05,7415.53,-120.0,7415.53,120.0,775.853,-22.3572,761.583,-141.911,768.148,98.0594,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,8,0.0,7415.53,-3.13664e-05,7415.54,-120.0,7415.53,120.0,756.048,-22.6715,738.318,-142.054,746.355,97.6769,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,9,900.0,7415.53,-3.18978e-05,7415.53,-120.0,7415.53,120.0,769.385,-22.6879,745.771,-142.209,758.388,97.5629,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,10,1800.0,7415.53,-3.15309e-05,7415.54,-120.0,7415.53,120.0,754.681,-22.5052,732.968,-142.242,744.939,97.8972,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,11,2700.0,7415.53,-3.11071e-05,7415.54,-120.0,7415.54,120.0,756.923,-22.8927,728.895,-142.604,738.908,97.412,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,3.0,12,0.0,7415.53,-3.09904e-05,7415.54,-120.0,7415.54,120.0,757.664,-23.0026,736.132,-142.654,735.957,97.3688,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,3.0,13,900.0,7415.53,-3.11155e-05,7415.54,-120.0,7415.54,120.0,764.259,-23.1097,737.981,-142.738,736.672,97.2576,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,3.0,14,1800.0,7415.53,-3.11241e-05,7415.53,-120.0,7415.53,120.0,777.24,-23.4875,743.965,-143.083,744.545,96.8772,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,3.0,15,2700.0,7415.53,-3.11968e-05,7415.53,-120.0,7415.53,120.0,781.666,-23.5629,754.123,-143.09,768.181,96.7915,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,4.0,16,0.0,7415.53,-3.13197e-05,7415.53,-120.0,7415.53,120.0,787.286,-23.6355,760.718,-143.31,759.566,96.8638,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,4.0,17,900.0,7415.53,-3.07587e-05,7415.53,-120.0,7415.53,120.0,783.616,-23.9334,756.518,-143.571,756.287,96.564,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,4.0,18,1800.0,7415.53,-3.02915e-05,7415.53,-120.0,7415.54,120.0,757.853,-23.5289,736.867,-143.327,732.694,97.0978,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,4.0,19,2700.0,7415.53,-3.04749e-05,7415.53,-120.0,7415.53,120.0,771.024,-23.7797,753.301,-143.441,748.972,96.7744,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,5.0,20,0.0,7415.53,-2.99745e-05,7415.53,-120.0,7415.53,120.0,765.664,-23.9914,750.066,-143.684,745.268,96.577,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,5.0,21,900.0,7415.53,-3.08723e-05,7415.53,-120.0,7415.53,120.0,783.014,-23.8349,765.276,-143.64,768.611,96.8173,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,5.0,22,1800.0,7415.53,-3.12541e-05,7415.53,-120.0,7415.53,120.0,788.264,-23.7102,763.829,-143.39,773.403,96.767,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,5.0,23,2700.0,7415.53,-3.09065e-05,7415.53,-120.0,7415.53,120.0,789.467,-23.9917,765.184,-143.77,772.82,96.42,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,6.0,24,0.0,7415.53,-3.16819e-05,7415.53,-120.0,7415.53,120.0,801.71,-23.7843,774.817,-143.706,781.129,96.5413,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
