 S1 (kVA), Ang1,P1 (kW),Q1 (kVAr), S2 (kVA), Ang2,P2 (kW),Q2 (kVAr), S3 (kVA), Ang3,P3 (kW),Q3 (kVAr),P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),S_sum_3ph (kVA),hour,timestep, t(sec),circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
5822.2,20.1028,5467.496767772549,2001.12266850304,5566.64,20.1924,5224.507717986841,1921.457778431766,5697.74,20.2273,5346.351202625438,1969.96698596335,16038.355688384829,5892.547432898156,17086.57275278166,17086.58,0.0,1,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
5794.68,21.2222,5401.705750518541,2097.591782786854,5480.97,20.8613,5121.666201995748,1951.8113270074164,5690.3,21.1479,5307.07108067245,2052.927333027195,15830.44303318674,6102.330442821465,16965.88823081056,16965.95,0.0,2,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
5847.34,21.4776,5441.305282455489,2140.9301480249164,5560.85,21.167,5185.670168288811,2007.953592147861,5708.71,21.1945,5322.564351829371,2063.898879483969,15949.53980257367,6212.782619656747,17116.848068291973,17116.9,0.0,3,2700.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
6094.97,21.7536,5660.924441262069,2258.892155730711,5796.54,21.3915,5397.215989449397,2114.222205642481,6015.46,21.5669,5594.3116163682425,2211.20703475892,16652.452047079707,6584.321396132113,17906.91060534598,17906.97,1.0,4,0.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
5963.98,21.8709,5534.72594665946,2221.68092573496,5724.49,21.5245,5325.268446197158,2100.309914283344,5858.38,21.6309,5445.820101119156,2159.550798348246,16305.814493975773,6481.541638366551,17546.793676390844,17546.85,1.0,5,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
5724.37,21.9355,5309.954094262341,2138.410487658206,5519.76,21.4901,5136.031147479607,2022.1113989390665,5603.97,21.5626,5211.785026410691,2059.5573794826196,15657.770268152639,6220.0792660798925,16848.0015386562,16848.100000000002,1.0,6,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
5753.37,22.3572,5320.891683005473,2188.4647711633797,5647.55,21.9107,5239.608161109954,2107.445686258595,5696.23,21.9405,5283.665575960038,2128.3595312622524,15844.165420075466,6424.269988684227,17097.041344812384,17097.15,1.0,7,2700.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
5606.5,22.6715,5173.285365178145,2161.0092041529174,5475.02,22.0538,5074.422067296,2055.7443137071773,5534.62,22.3231,5119.837077477719,2102.209990577632,15367.544509951862,6318.963508437727,16615.977975620914,16616.14,2.0,8,0.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
5705.4,22.6879,5263.913674076329,2200.636724194213,5530.29,22.209,5120.004544550038,2090.3733991531167,5623.85,22.4371,5198.1194384406745,2146.448957279258,15582.037657067041,6437.459080626588,16859.441774892697,16859.54,2.0,9,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
5596.37,22.5052,5170.1773091600335,2142.1073196146617,5435.35,22.2424,5030.909529353685,2057.420455317359,5524.12,22.1028,5118.153768972295,2078.558099153037,15319.240607486014,6278.085874085058,16555.769237109907,16555.84,2.0,10,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
5612.99,22.8927,5170.8827079151915,2183.4900414436643,5405.15,22.6036,4989.95918249529,2077.4873957574164,5479.4,22.588,5059.078971105746,2104.648266128006,15219.920861516228,6365.625703329087,16497.490161406397,16497.54,2.0,11,2700.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
5618.49,23.0025,5171.751520291795,2195.5446004259416,5458.81,22.6535,5037.66814992547,2102.4999946079656,5457.51,22.6312,5037.286177991917,2100.038895142562,15246.705848209182,6398.083490176469,16534.736513446012,16534.809999999998,3.0,12,0.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
5667.39,23.1097,5212.610644614328,2224.409962159272,5472.52,22.7378,5047.213767671083,2115.2088156566188,5462.81,22.7423,5038.092548007561,2111.851456379138,15297.916960292972,6451.470234195029,16602.64230496832,16602.72,3.0,13,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
5763.65,23.4874,5286.118581504577,2297.087648474047,5516.9,23.0834,5075.190110152116,2163.0143216849356,5521.2,23.1228,5077.656053256754,2168.192437221625,15438.964744913446,6628.294407380608,16801.664177860283,16801.75,3.0,14,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
5796.47,23.5629,5313.170592914701,2317.1712736624477,5592.23,23.0899,5144.240053479927,2193.1326100062506,5696.47,23.2085,5235.493912678781,2244.854995585111,15692.90455907341,6755.15887925381,17085.064383377332,17085.170000000002,3.0,15,2700.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
5838.15,23.6355,5348.413872106814,2340.611987313445,5641.13,23.3103,5180.674228851859,2232.254961112237,5632.59,23.1362,5179.580114837919,2213.1470674303623,15708.668215796592,6786.014015856044,17111.75745905057,17111.87,4.0,16,0.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
5810.93,23.9333,5311.2965617560685,2357.336695930001,5609.98,23.571,5141.912704531577,2243.3477972389283,5608.28,23.4359,5145.628325001565,2230.541122539907,15598.837591289212,6831.225615708836,17029.07447902363,17029.19,4.0,17,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
5619.88,23.5289,5152.636593914005,2243.5211934497697,5464.26,23.3266,5017.625853533084,2163.6931717682132,5433.32,22.9022,5005.013903284807,2114.427121072224,15175.276350731898,6521.6414862902075,16517.288518300586,16517.46,4.0,18,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
5717.56,23.7796,5232.157972558271,2305.431695755685,5586.13,23.4408,5125.115552144188,2222.1698751602626,5554.03,23.2256,5103.9271465323945,2190.2458592107164,15461.200671234852,6717.847430126663,16857.585838151692,16857.72,4.0,19,2700.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
5677.81,23.9913,5187.2881387315165,2308.5857493009275,5562.14,23.6841,5093.663761157259,2234.2763633609193,5526.56,23.423,5071.144521549763,2196.89751129993,15352.096421438539,6739.759623961778,16766.371829406962,16766.510000000002,5.0,20,0.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
5806.47,23.8348,5311.261698617275,2346.400014852784,5674.93,23.6397,5198.718870347836,2275.5554513105862,5699.66,23.1827,5239.4366497584315,2243.7530409490582,15749.417218723542,6865.708507112428,17180.86424002185,17181.06,5.0,21,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
