substation,feeder_name,circuit_folder,mix,season,share_baseline,share_dm,share_un,n_daily_baseline,n_daily_dm,n_daily_un,N_daily_total,n_base_baseline,n_base_dm,n_base_un,N_base_total
uhs0_1247,uhs0_1247--udt12274,uhs0_1247_circuit_1_0,0,winter,0.2,0.0,0.8,38,0,165,203,214,0,1407,1621
uhs0_1247,uhs0_1247--udt12274,uhs0_1247_circuit_1_1,1,winter,0.2,0.6,0.2,42,113,48,203,261,837,523,1621
uhs0_1247,uhs0_1247--udt14717,uhs0_1247_circuit_2_0,0,winter,0.2,0.0,0.8,59,0,233,292,436,0,1389,1825
uhs0_1247,uhs0_1247--udt14717,uhs0_1247_circuit_2_1,1,winter,0.2,0.6,0.2,58,159,75,292,337,1064,424,1825
uhs0_1247,uhs0_1247--udt16115,uhs0_1247_circuit_3_0,0,winter,0.2,0.0,0.8,19,0,81,100,50,0,250,300
uhs0_1247,uhs0_1247--udt16115,uhs0_1247_circuit_3_1,1,winter,0.2,0.6,0.2,23,58,19,100,63,156,81,300
uhs10_1247,uhs10_1247--udt11713,uhs10_1247_circuit_33_0,0,winter,0.2,0.0,0.8,58,0,213,271,180,0,870,1050
uhs10_1247,uhs10_1247--udt11713,uhs10_1247_circuit_33_1,1,winter,0.2,0.6,0.2,63,152,56,271,285,619,146,1050
uhs10_1247,uhs10_1247--udt12084,uhs10_1247_circuit_34_0,0,winter,0.2,0.0,0.8,36,0,200,236,133,0,1108,1241
uhs10_1247,uhs10_1247--udt12084,uhs10_1247_circuit_34_1,1,winter,0.2,0.6,0.2,53,138,45,236,236,774,231,1241
uhs10_1247,uhs10_1247--udt13528,uhs10_1247_circuit_35_0,0,winter,0.2,0.0,0.8,40,0,164,204,95,0,491,586
uhs10_1247,uhs10_1247--udt13528,uhs10_1247_circuit_35_1,1,winter,0.2,0.6,0.2,44,116,44,204,91,268,227,586
uhs11_1247,uhs11_1247--udt7105,uhs11_1247_circuit_37_0,0,winter,0.2,0.0,0.8,32,0,167,199,198,0,947,1145
uhs11_1247,uhs11_1247--udt7105,uhs11_1247_circuit_37_1,1,winter,0.2,0.6,0.2,31,131,37,199,119,819,207,1145
uhs11_1247,uhs11_1247--udt8110,uhs11_1247_circuit_38_0,0,winter,0.2,0.0,0.8,47,0,201,248,132,0,1432,1564
uhs11_1247,uhs11_1247--udt8110,uhs11_1247_circuit_38_1,1,winter,0.2,0.6,0.2,54,147,47,248,325,1080,159,1564
uhs12_1247,uhs12_1247--udt1278,uhs12_1247_circuit_39_0,0,winter,0.2,0.0,0.8,49,0,170,219,462,0,1404,1866
uhs12_1247,uhs12_1247--udt1278,uhs12_1247_circuit_39_1,1,winter,0.2,0.6,0.2,40,142,37,219,510,1161,195,1866
uhs12_1247,uhs12_1247--udt15482,uhs12_1247_circuit_40_0,0,winter,0.2,0.0,0.8,47,0,182,229,149,0,770,919
uhs12_1247,uhs12_1247--udt15482,uhs12_1247_circuit_40_1,1,winter,0.2,0.6,0.2,57,136,36,229,177,542,200,919
uhs12_1247,uhs12_1247--udt15805,uhs12_1247_circuit_41_0,0,winter,0.2,0.0,0.8,26,0,93,119,137,0,313,450
uhs12_1247,uhs12_1247--udt15805,uhs12_1247_circuit_41_1,1,winter,0.2,0.6,0.2,23,76,20,119,56,361,33,450
uhs12_1247,uhs12_1247--udt17650,uhs12_1247_circuit_42_0,0,winter,0.2,0.0,0.8,45,0,143,188,554,0,814,1368
uhs12_1247,uhs12_1247--udt17650,uhs12_1247_circuit_42_1,1,winter,0.2,0.6,0.2,40,112,36,188,184,900,284,1368
uhs13_1247,uhs13_1247--udt4015,uhs13_1247_circuit_43_0,0,winter,0.2,0.0,0.8,54,0,228,282,93,0,673,766
uhs13_1247,uhs13_1247--udt4015,uhs13_1247_circuit_43_1,1,winter,0.2,0.6,0.2,58,170,54,282,143,528,95,766
uhs13_1247,uhs13_1247--udt4819,uhs13_1247_circuit_44_0,0,winter,0.2,0.0,0.8,46,0,143,189,209,0,770,979
uhs13_1247,uhs13_1247--udt4819,uhs13_1247_circuit_44_1,1,winter,0.2,0.6,0.2,31,118,40,189,158,662,159,979
uhs14_1247,uhs14_1247--udt11665,uhs14_1247_circuit_45_0,0,winter,0.2,0.0,0.8,49,0,194,243,78,0,659,737
uhs14_1247,uhs14_1247--udt11665,uhs14_1247_circuit_45_1,1,winter,0.2,0.6,0.2,51,147,45,243,127,505,105,737
uhs14_1247,uhs14_1247--udt12226,uhs14_1247_circuit_46_0,0,winter,0.2,0.0,0.8,42,0,195,237,260,0,1137,1397
uhs14_1247,uhs14_1247--udt12226,uhs14_1247_circuit_46_1,1,winter,0.2,0.6,0.2,45,144,48,237,319,788,290,1397
