hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 7415.53, -4.36036E-005, 7415.53, -120, 7415.53, 120, 933.691, -19.6859, 842.925, -138.671, 813.859, 100.899
0, 1800.00000, 7415.53, -4.18617E-005, 7415.53, -120, 7415.53, 120, 921.743, -20.4286, 827.629, -139.414, 797.999, 100.009
0, 2700.00000, 7415.53, -4.2133E-005, 7415.53, -120, 7415.53, 120, 932.463, -20.562, 837.049, -139.687, 805.221, 99.862
1, 0.00000, 7415.53, -4.2485E-005, 7415.53, -120, 7415.53, 120, 946.231, -20.7264, 849.929, -139.788, 838.85, 99.6849
1, 900.00000, 7415.53, -4.14771E-005, 7415.53, -120, 7415.53, 120, 938.75, -21.1374, 837.983, -140.052, 834.187, 99.3458
1, 1800.00000, 7415.53, -3.93915E-005, 7415.53, -120, 7415.54, 120, 876.341, -20.6963, 774.457, -140.007, 751.447, 100.003
1, 2700.00000, 7415.53, -3.82069E-005, 7415.53, -120, 7415.53, 120, 877.629, -21.5082, 794.607, -140.599, 776.653, 99.4397
2, 0.00000, 7415.53, -3.6895E-005, 7415.53, -120, 7415.54, 120, 854.278, -21.7054, 760.441, -140.796, 736.712, 98.9453
2, 900.00000, 7415.53, -3.75463E-005, 7415.53, -120, 7415.53, 120, 873.102, -21.8114, 771.208, -140.92, 753.771, 98.8965
2, 1800.00000, 7415.53, -3.65687E-005, 7415.53, -120, 7415.54, 120, 852.226, -21.8645, 755.362, -140.792, 742.19, 98.9076
2, 2700.00000, 7415.53, -3.62923E-005, 7415.53, -120, 7415.53, 120, 866.842, -22.4578, 764.487, -141.441, 748.384, 98.4122
3, 0.00000, 7415.53, -3.61427E-005, 7415.53, -120, 7415.53, 120, 860.281, -22.3751, 765.313, -141.466, 748.236, 98.433
3, 900.00000, 7415.53, -3.54327E-005, 7415.53, -120, 7415.53, 120, 850.721, -22.5807, 773.074, -141.451, 751.086, 98.3297
3, 1800.00000, 7415.53, -3.56723E-005, 7415.53, -120, 7415.53, 120, 863.967, -22.7857, 780.212, -141.874, 759.494, 97.9674
3, 2700.00000, 7415.53, -3.56961E-005, 7415.53, -120, 7415.53, 120, 863.048, -22.7451, 786.383, -142.083, 761.103, 97.9794
4, 0.00000, 7415.53, -3.52112E-005, 7415.53, -120, 7415.53, 120, 855.107, -22.8487, 791.02, -141.96, 759.129, 98.0889
4, 900.00000, 7415.53, -3.48686E-005, 7415.53, -120, 7415.53, 120, 856.971, -23.1255, 777.301, -142.166, 751.583, 97.9065
4, 1800.00000, 7415.53, -3.41907E-005, 7415.53, -120, 7415.53, 120, 845.593, -23.2689, 757, -142.169, 746.913, 97.7403
4, 2700.00000, 7415.53, -3.42987E-005, 7415.53, -120, 7415.53, 120, 849.116, -23.2918, 764.079, -142.241, 744.266, 97.7341
5, 0.00000, 7415.53, -3.44706E-005, 7415.53, -120, 7415.53, 120, 860.472, -23.4799, 768.666, -142.514, 751.769, 97.5153
5, 900.00000, 7415.53, -3.54032E-005, 7415.53, -120, 7415.53, 120, 882.302, -23.4431, 781.521, -142.62, 771.023, 97.5021
5, 1800.00000, 7415.53, -3.56651E-005, 7415.53, -120, 7415.53, 120, 883.372, -23.3034, 799.634, -142.504, 790.22, 97.437
