hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 1466.91, 17.4615, 1530.84, 18.1254, 1533.71, 19.3338
0, 1800.00000, 1490.43, 18.2559, 1544.71, 19.3469, 1506.7, 19.6912
0, 2700.00000, 1465.47, 18.6521, 1536.26, 19.631, 1510.39, 20.098
1, 0.00000, 1516.37, 18.8837, 1557.33, 19.9061, 1562.67, 20.3289
1, 900.00000, 1495.85, 18.7224, 1512.8, 20.2427, 1538.27, 20.1996
1, 1800.00000, 1480.06, 19.8635, 1479.02, 20.4507, 1507.84, 20.2648
1, 2700.00000, 1491.39, 20.2594, 1481.86, 20.6724, 1532.96, 20.3672
2, 0.00000, 1447.68, 20.3581, 1465.92, 20.5287, 1511.01, 20.6475
2, 900.00000, 1431.82, 20.4685, 1453.88, 20.5364, 1515.31, 20.6702
2, 1800.00000, 1430.31, 20.1291, 1428.73, 20.505, 1520.48, 20.5928
2, 2700.00000, 1439.79, 20.4176, 1425.75, 20.8213, 1511.02, 20.986
3, 0.00000, 1422.2, 20.237, 1418.97, 20.6852, 1490.55, 21.0973
3, 900.00000, 1433.91, 20.2222, 1425.12, 20.8857, 1495.84, 21.1089
3, 1800.00000, 1426.43, 20.4859, 1426.39, 21.0654, 1489.35, 21.1713
3, 2700.00000, 1428.44, 20.6367, 1425.78, 21.2791, 1482.68, 21.5501
4, 0.00000, 1419.36, 20.5617, 1418.81, 21.1126, 1504.47, 21.2417
4, 900.00000, 1428.01, 20.8597, 1418.2, 21.4616, 1495.34, 21.5248
4, 1800.00000, 1372.93, 20.5351, 1394.69, 20.8649, 1472.3, 21.2846
4, 2700.00000, 1394.91, 20.5925, 1405.73, 20.9538, 1505.3, 20.9726
5, 0.00000, 1387.84, 20.7341, 1392.96, 21.1554, 1499.69, 21.1577
5, 900.00000, 1403.46, 20.8268, 1410.6, 21.2658, 1507.03, 21.2938
5, 1800.00000, 1413.32, 20.7882, 1395.47, 20.9978, 1507.8, 21.0372
5, 2700.00000, 1432.01, 21.2079, 1407.29, 21.4901, 1530.77, 21.6236
6, 0.00000, 1434.81, 21.4081, 1419.72, 21.8712, 1521.04, 21.9754
6, 900.00000, 1448.03, 21.5708, 1437.25, 22.0302, 1553.9, 22.006
6, 1800.00000, 1409.94, 20.8939, 1389.49, 21.2883, 1514.26, 21.4209
6, 2700.00000, 1422.46, 20.3083, 1401.52, 20.6157, 1496.88, 21.041
7, 0.00000, 1430.36, 19.6903, 1403.27, 19.9246, 1514.8, 20.277
