hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 900.00000, 1.8385, 179.961, 1.84033, -179.968, 1.83818, -179.993, 0, 0
0, 1800.00000, 0.0183841, -0.0373459, 0.018403, 0.026994, 0.018383, 0.010323, 0, 0
0, 2700.00000, 0.0183837, -0.0378657, 0.0184028, 0.0250987, 0.0183836, 0.0127488, 0, 0
1, 0.00000, 0.0183819, -0.058089, 0.0184079, 0.0393517, 0.0183802, 0.0186818, 0, 0
1, 900.00000, 0.0183849, -0.0404829, 0.0184038, 0.0329903, 0.0183813, 0.00751879, 0, 0
1, 1800.00000, 0.0183834, -0.0248025, 0.0183998, 0.01428, 0.0183868, 0.0105392, 0, 0
1, 2700.00000, 0.0183822, -0.0259262, 0.0184001, 0.0130467, 0.0183876, 0.0128707, 0, 0
2, 0.00000, 0.0183864, -0.0150862, 0.0183972, 0.0130055, 0.0183864, 0.00209924, 0, 0
2, 900.00000, 0.0183842, -0.0191465, 0.0183975, 0.00681719, 0.0183883, 0.0123245, 0, 0
2, 1800.00000, 0.0183861, -0.013161, 0.0183956, 0.00591419, 0.0183883, 0.00724913, 0, 0
2, 2700.00000, 0.0183855, -0.0140572, 0.0183959, 0.00530821, 0.0183886, 0.00875205, 0, 0
3, 0.00000, 0.0183853, -0.0154052, 0.0183965, 0.00595384, 0.0183882, 0.00945278, 0, 0
3, 900.00000, 0.0183858, -0.0187368, 0.0183974, 0.0126614, 0.0183868, 0.00606838, 0, 0
3, 1800.00000, 0.0183854, -0.0190922, 0.0183974, 0.0114006, 0.0183872, 0.0076781, 0, 0
3, 2700.00000, 0.0183848, -0.0205329, 0.018398, 0.0107865, 0.0183872, 0.00974114, 0, 0
4, 0.00000, 0.0183854, -0.0208751, 0.0183984, 0.0135383, 0.0183863, 0.00732667, 0, 0
4, 900.00000, 0.0183854, -0.01986, 0.0183981, 0.0126468, 0.0183865, 0.00719981, 0, 0
4, 1800.00000, 0.0183859, -0.0171259, 0.0183981, 0.0117474, 0.018386, 0.00537644, 0, 0
4, 2700.00000, 0.0183856, -0.0185265, 0.0183984, 0.0123557, 0.018386, 0.00615585, 0, 0
5, 0.00000, 0.0183846, -0.0238056, 0.0184002, 0.0156378, 0.0183851, 0.00814741, 0, 0
5, 900.00000, 0.0183848, -0.0204569, 0.0183988, 0.0114476, 0.0183864, 0.00899711, 0, 0
5, 1800.00000, 0.0183816, -0.0295453, 0.0184024, 0.0145565, 0.018386, 0.0149814, 0, 0
5, 2700.00000, 0.0183821, -0.0261046, 0.018401, 0.0126866, 0.0183869, 0.0134008, 0, 0
6, 0.00000, 0.0183818, -0.02623, 0.018401, 0.0113197, 0.0183872, 0.0148758, 0, 0
6, 900.00000, 0.0183824, -0.0248565, 0.0184007, 0.0124964, 0.0183869, 0.0122806, 0, 0
6, 1800.00000, 0.0183802, -0.0292768, 0.0184017, 0.0103807, 0.018388, 0.0188914, 0, 0
6, 2700.00000, 0.0183798, -0.0299656, 0.0184015, 0.00926959, 0.0183883, 0.0201472, 0, 0
7, 0.00000, 0.0183801, -0.0304731, 0.0184023, 0.0119245, 0.0183876, 0.018527, 0, 0
7, 900.00000, 0.01838, -0.0296834, 0.0184023, 0.0111367, 0.0183876, 0.018409, 0, 0
7, 1800.00000, 0.0183804, -0.0290487, 0.0184017, 0.0109274, 0.0183879, 0.0180907, 0, 0
7, 2700.00000, 0.0183802, -0.0291499, 0.0184018, 0.0110933, 0.018388, 0.0180229, 0, 0
8, 0.00000, 0.0183796, -0.0283678, 0.0184012, 0.00939568, 0.0183892, 0.0189549, 0, 0
8, 900.00000, 0.0183782, -0.0306793, 0.0184022, 0.00814603, 0.0183895, 0.0225114, 0, 0
8, 1800.00000, 0.0183783, -0.0308835, 0.0184025, 0.00945792, 0.0183891, 0.0213844, 0, 0
8, 2700.00000, 0.0183779, -0.0307344, 0.0184019, 0.0072185, 0.0183902, 0.0234769, 0, 0
9, 0.00000, 0.0183774, -0.035164, 0.018403, 0.00792453, 0.0183896, 0.0272117, 0, 0
9, 900.00000, 0.0183796, -0.0337167, 0.0184031, 0.0131425, 0.0183873, 0.0205438, 0, 0
9, 1800.00000, 0.0183805, -0.0310133, 0.0184027, 0.0147599, 0.0183867, 0.0161736, 0, 0
9, 2700.00000, 0.0183792, -0.0338994, 0.0184034, 0.0148494, 0.0183874, 0.0190136, 0, 0
10, 0.00000, 0.0183807, -0.030078, 0.0184031, 0.0174948, 0.0183862, 0.0125398, 0, 0
10, 900.00000, 0.0183796, -0.0315862, 0.0184041, 0.0161053, 0.0183863, 0.0154491, 0, 0
10, 1800.00000, 0.0183748, -0.043162, 0.0184091, 0.0162844, 0.018386, 0.0268267, 0, 0
10, 2700.00000, 0.0183773, -0.0403815, 0.0184088, 0.0209946, 0.0183839, 0.0193205, 0, 0
11, 0.00000, 0.018377, -0.038937, 0.0184081, 0.018546, 0.0183849, 0.0203498, 0, 0
11, 900.00000, 0.0183767, -0.0420348, 0.018407, 0.0191885, 0.0183863, 0.0227887, 0, 0
11, 1800.00000, 0.0183797, -0.0387363, 0.0184063, 0.0244206, 0.018384, 0.0142491, 0, 0
11, 2700.00000, 0.018381, -0.0398578, 0.0184071, 0.0296032, 0.0183819, 0.0102072, 0, 0
12, 0.00000, 0.0183784, -0.0434464, 0.0184093, 0.0284749, 0.0183823, 0.0149061, 0, 0
12, 900.00000, 0.0183789, -0.0397724, 0.0184081, 0.025207, 0.0183829, 0.0145304, 0, 0
12, 1800.00000, 0.0183791, -0.0399026, 0.0184077, 0.0255174, 0.0183832, 0.0143337, 0, 0
12, 2700.00000, 0.0183782, -0.0453699, 0.0184098, 0.0282197, 0.018382, 0.0170833, 0, 0
13, 0.00000, 0.0183791, -0.0440699, 0.0184091, 0.0286787, 0.0183818, 0.0153399, 0, 0
13, 900.00000, 0.0183788, -0.0461564, 0.0184093, 0.0285281, 0.018382, 0.0175676, 0, 0
13, 1800.00000, 0.0183729, -0.0532673, 0.0184124, 0.0261013, 0.0183847, 0.0270882, 0, 0
13, 2700.00000, 0.0183569, -0.0772001, 0.0184214, 0.0176251, 0.0183918, 0.0593922, 0, 0
14, 0.00000, 0.0183599, -0.0727055, 0.0184196, 0.0196846, 0.0183905, 0.0529202, 0, 0
14, 900.00000, 0.0183788, -0.0331918, 0.0184038, 0.0157674, 0.0183874, 0.0174052, 0, 0
14, 1800.00000, 0.0183853, -0.02164, 0.018398, 0.0133364, 0.0183867, 0.0082724, 0, 0
14, 2700.00000, 0.0183832, -0.0260689, 0.0184004, 0.014746, 0.0183864, 0.0113023, 0, 0
15, 0.00000, 0.0183889, -0.0125727, 0.0183949, 0.0126731, 0.0183862, -6.96215E-005, 0, 0
15, 900.00000, 0.0183889, -0.0125493, 0.0183954, 0.0131162, 0.0183857, -0.000541538, 0, 0
15, 1800.00000, 0.0183872, -0.0196079, 0.0183989, 0.0182511, 0.0183839, 0.00134667, 0, 0
15, 2700.00000, 0.0183864, -0.0222827, 0.0183996, 0.0191875, 0.0183841, 0.00307972, 0, 0
16, 0.00000, 0.0183862, -0.0209834, 0.0183992, 0.0186238, 0.0183846, 0.00234561, 0, 0
16, 900.00000, 0.0183856, -0.0200405, 0.0183984, 0.0157037, 0.018386, 0.0043391, 0, 0
