hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 900.00000, 5.06626, 0.0835011, 5.05612, -0.116937, 5.07856, 0.0329458, 0, 0
0, 1800.00000, 5.06617, 0.101161, 5.05379, -0.136545, 5.08099, 0.0349355, 0, 0
0, 2700.00000, 5.06675, 0.0959784, 5.05453, -0.121013, 5.07968, 0.0247281, 0, 0
1, 0.00000, 5.0666, 0.091251, 5.05489, -0.116936, 5.07946, 0.0253619, 0, 0
1, 900.00000, 5.06705, 0.101813, 5.05422, -0.121215, 5.07968, 0.0190764, 0, 0
1, 1800.00000, 5.06677, 0.103847, 5.05411, -0.125036, 5.08007, 0.0208915, 0, 0
1, 2700.00000, 5.06634, 0.107955, 5.05397, -0.13154, 5.08065, 0.0231921, 0, 0
2, 0.00000, 5.06752, 0.10071, 5.05494, -0.107891, 5.07849, 0.00695201, 0, 0
2, 900.00000, 5.0669, 0.0832147, 5.05644, -0.0967794, 5.0776, 0.0133474, 0, 0
2, 1800.00000, 5.06744, 0.0811325, 5.05653, -0.0900563, 5.07698, 0.00874158, 0, 0
2, 2700.00000, 5.067, 0.0749916, 5.05698, -0.088322, 5.07695, 0.0131075, 0, 0
3, 0.00000, 5.06763, 0.0841409, 5.05623, -0.0919409, 5.07708, 0.00764126, 0, 0
3, 900.00000, 5.06725, 0.0803164, 5.05653, -0.0908634, 5.07716, 0.0103397, 0, 0
3, 1800.00000, 5.06736, 0.0805066, 5.05648, -0.0889537, 5.07709, 0.00823132, 0, 0
3, 2700.00000, 5.06765, 0.0805665, 5.05641, -0.0861531, 5.07689, 0.00540606, 0, 0
4, 0.00000, 5.06771, 0.077901, 5.05673, -0.0827093, 5.0765, 0.00463235, 0, 0
4, 900.00000, 5.06767, 0.0804349, 5.05636, -0.0855274, 5.0769, 0.00487524, 0, 0
4, 1800.00000, 5.06799, 0.0827109, 5.0562, -0.085512, 5.07675, 0.00259746, 0, 0
4, 2700.00000, 5.06764, 0.0870752, 5.05607, -0.0947885, 5.07723, 0.00747832, 0, 0
5, 0.00000, 5.068, 0.0822578, 5.05632, -0.0846903, 5.07662, 0.00222247, 0, 0
5, 900.00000, 5.06788, 0.083843, 5.05611, -0.087774, 5.07695, 0.00370941, 0, 0
5, 1800.00000, 5.06776, 0.0719009, 5.05778, -0.0753926, 5.0754, 0.00337223, 0, 0
5, 2700.00000, 5.06776, 0.0742525, 5.05747, -0.078612, 5.07571, 0.00418568, 0, 0
6, 0.00000, 5.06777, 0.0737014, 5.05744, -0.0781905, 5.0757, 0.00410614, 0, 0
6, 900.00000, 5.06777, 0.0743467, 5.05739, -0.0785006, 5.07576, 0.00376839, 0, 0
6, 1800.00000, 5.06733, 0.0764899, 5.05769, -0.0869467, 5.07592, 0.0102881, 0, 0
6, 2700.00000, 5.06733, 0.0719957, 5.05808, -0.0801023, 5.07555, 0.00813342, 0, 0
7, 0.00000, 5.06712, 0.0728659, 5.05818, -0.0831459, 5.07565, 0.0101265, 0, 0
7, 900.00000, 5.06701, 0.0786569, 5.05769, -0.092058, 5.07623, 0.013086, 0, 0
7, 1800.00000, 5.06711, 0.0780257, 5.05776, -0.0895308, 5.07607, 0.0112953, 0, 0
7, 2700.00000, 5.06691, 0.0844597, 5.05715, -0.0990628, 5.07689, 0.0143875, 0, 0
8, 0.00000, 5.06676, 0.0749385, 5.05796, -0.0878344, 5.07622, 0.0127377, 0, 0
8, 900.00000, 5.06742, 0.078147, 5.05762, -0.0869411, 5.07589, 0.00860285, 0, 0
8, 1800.00000, 5.06731, 0.083453, 5.0569, -0.0936283, 5.07673, 0.00991256, 0, 0
8, 2700.00000, 5.06702, 0.0843483, 5.05671, -0.0973032, 5.0772, 0.0126729, 0, 0
9, 0.00000, 5.067, 0.0836817, 5.05671, -0.0978839, 5.07723, 0.0139577, 0, 0
9, 900.00000, 5.067, 0.0784258, 5.05737, -0.0915274, 5.07657, 0.0129015, 0, 0
9, 1800.00000, 5.06662, 0.0798148, 5.05712, -0.0955175, 5.07716, 0.0151227, 0, 0
9, 2700.00000, 5.06744, 0.0942241, 5.05522, -0.104888, 5.07828, 0.0103446, 0, 0
10, 0.00000, 5.06808, 0.0985004, 5.05483, -0.104215, 5.07802, 0.00531337, 0, 0
10, 900.00000, 5.06743, 0.0908694, 5.0559, -0.0992999, 5.07761, 0.00817693, 0, 0
10, 1800.00000, 5.06786, 0.0910594, 5.05593, -0.097354, 5.07715, 0.00605253, 0, 0
10, 2700.00000, 5.06866, 0.0999311, 5.05484, -0.100342, 5.07743, 8.56608E-005, 0, 0
11, 0.00000, 5.06843, 0.0950876, 5.05542, -0.096617, 5.07708, 0.00120819, 0, 0
11, 900.00000, 5.06811, 0.102244, 5.05423, -0.108217, 5.07859, 0.00559026, 0, 0
11, 1800.00000, 5.06883, 0.105046, 5.05401, -0.104912, 5.07809, -0.000541079, 0, 0
11, 2700.00000, 5.06757, 0.095227, 5.05497, -0.105222, 5.0784, 0.00966237, 0, 0
12, 0.00000, 5.06751, 0.0950513, 5.05478, -0.10625, 5.07864, 0.0107988, 0, 0
12, 900.00000, 5.06885, 0.104588, 5.05382, -0.103395, 5.07826, -0.00158506, 0, 0
12, 1800.00000, 5.06852, 0.103401, 5.05382, -0.103722, 5.0786, -4.2258E-005, 0, 0
12, 2700.00000, 5.06865, 0.100622, 5.05404, -0.0998364, 5.07825, -0.00113992, 0, 0
13, 0.00000, 5.06915, 0.105289, 5.05385, -0.0974093, 5.07794, -0.00818769, 0, 0
13, 900.00000, 5.06926, 0.113278, 5.05298, -0.106972, 5.0787, -0.00670023, 0, 0
13, 1800.00000, 5.06904, 0.11258, 5.05283, -0.106076, 5.07908, -0.00683448, 0, 0
13, 2700.00000, 5.06831, 0.121601, 5.05151, -0.123829, 5.08114, 0.00181269, 0, 0
14, 0.00000, 5.06823, 0.109996, 5.053, -0.11113, 5.07974, 0.000905397, 0, 0
14, 900.00000, 5.06866, 0.107531, 5.05365, -0.106478, 5.07864, -0.00135874, 0, 0
14, 1800.00000, 5.0698, 0.129844, 5.05102, -0.121682, 5.08012, -0.008677, 0, 0
14, 2700.00000, 5.07013, 0.134979, 5.05039, -0.123953, 5.08043, -0.0114884, 0, 0
15, 0.00000, 5.07011, 0.130445, 5.05104, -0.117712, 5.07981, -0.0130947, 0, 0
15, 900.00000, 5.06944, 0.116187, 5.05259, -0.108615, 5.07894, -0.00777207, 0, 0
