case,topology,donor, S1 (kVA), Ang1,P1 (kW),Q1 (kVAr), S2 (kVA), Ang2,P2 (kW),Q2 (kVAr), S3 (kVA), Ang3,P3 (kW),Q3 (kVAr),P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),S_sum_3ph (kVA),hour,timestep, t(sec),circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva,season,design
NC_GSO_urban__NC,NC_GSO_urban,NC,2213.36,9.90146,2180.39188055786,380.5965538432501,2220.28,9.99508,2186.58205684358,385.3598150945408,2143.0,9.5038,2113.5865813711007,353.8371985080464,6480.560518772541,1119.7935674458372,6576.595036275726,6576.64,0.0,1,900.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
NC_GSO_urban__NC,NC_GSO_urban,NC,2280.83,10.0584,2245.774205585601,398.3512350004237,2272.35,10.1135,2237.0418458433924,399.0216816735489,2245.88,9.82133,2212.9654266596185,383.0939764721092,6695.781478088613,1180.466893146082,6799.043439199995,6799.06,0.0,2,1800.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
NC_GSO_urban__NC,NC_GSO_urban,NC,2224.5,9.81203,2191.960323311193,379.0912700518036,2227.97,9.82334,2195.304573752357,380.1159683070169,2209.43,9.49598,2179.154576681108,364.5082383565345,6566.419473744658,1123.715476715355,6661.87670088412,6661.9,0.0,3,2700.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
NC_GSO_urban__NC,NC_GSO_urban,NC,2046.89,9.53559,2018.6078954148545,339.08824318872126,2026.85,9.49267,1999.0957520036527,334.27099308936425,2033.12,9.07291,2007.682568389344,320.60511378573705,6025.386215807851,993.9643500638226,6106.819481435901,6106.86,1.0,4,0.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
NC_GSO_urban__NC,NC_GSO_urban,NC,2088.85,10.4092,2054.472692892397,377.4073086990529,2072.64,10.5487,2037.611672459814,379.440696098241,2074.09,10.1307,2041.753017002537,364.8204293361853,6133.837382354748,1121.6684341334792,6235.55138775265,6235.58,1.0,5,900.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
NC_GSO_urban__NC,NC_GSO_urban,NC,2034.72,10.545,2000.3565842192204,372.3694595033441,2025.3,10.4338,1991.8112748081824,366.7805004999617,2019.6,10.1617,1987.920074406232,356.3115740089321,5980.087933433635,1095.461534012238,6079.596011586544,6079.62,1.0,6,1800.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
NC_GSO_urban__NC,NC_GSO_urban,NC,2052.63,9.41998,2024.9505864297969,335.9539245456479,2054.14,9.17223,2027.8750264863509,327.4355151063814,2048.38,8.96532,2023.3546267950687,319.2125915859035,6076.180239711217,982.6020312379328,6155.11763147139,6155.150000000001,1.0,7,2700.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
NC_GSO_urban__NC,NC_GSO_urban,NC,2027.16,9.1616,2001.2999187564835,322.7635369512693,2044.5,8.98713,2019.4006029157488,319.3766662477203,2026.73,8.62521,2003.8086771233127,303.9494668284803,6024.509198795546,946.08967002747,6098.343771066438,6098.389999999999,2.0,8,0.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
NC_GSO_urban__NC,NC_GSO_urban,NC,1877.42,8.43866,1857.0941857459152,275.5123258017987,1880.05,8.34608,1860.13908779122,272.892976405126,1869.74,7.95072,1851.7669465935733,258.6249081266441,5569.000220130708,807.0302103335688,5627.171688531186,5627.21,2.0,9,900.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
NC_GSO_urban__NC,NC_GSO_urban,NC,1856.32,8.45583,1836.1409059265327,272.96614439026945,1835.07,8.32597,1815.728832423074,265.7267619332696,1871.78,8.14786,1852.8855329472003,265.2839425878784,5504.755271296808,803.9768489114175,5563.156421534049,5563.17,2.0,10,1800.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
