Feeder,Phases,Yearly_Type,Yearly_Number,Count_of_Load_Name,REAL_LOAD_COUNT,Parquet_Name
rhs0_1247--rdt1527,1,com,12824,6,3,com_12824.parquet
rhs0_1247--rdt1527,1,com,12941,2,1,com_12941.parquet
rhs0_1247--rdt1527,1,com,13018,2,1,com_13018.parquet
rhs0_1247--rdt1527,1,com,13393,2,1,com_13393.parquet
rhs0_1247--rdt1527,1,com,13515,2,1,com_13515.parquet
rhs0_1247--rdt1527,1,com,13578,4,2,com_13578.parquet
rhs0_1247--rdt1527,1,com,13807,2,1,com_13807.parquet
rhs0_1247--rdt1527,1,com,13828,2,1,com_13828.parquet
rhs0_1247--rdt1527,1,com,13833,2,1,com_13833.parquet
rhs0_1247--rdt1527,1,com,14117,2,1,com_14117.parquet
rhs0_1247--rdt1527,1,com,14123,2,1,com_14123.parquet
rhs0_1247--rdt1527,1,com,14231,2,1,com_14231.parquet
rhs0_1247--rdt1527,1,com,14650,6,3,com_14650.parquet
rhs0_1247--rdt1527,1,com,14741,2,1,com_14741.parquet
rhs0_1247--rdt1527,1,com,14772,2,1,com_14772.parquet
rhs0_1247--rdt1527,1,com,14989,2,1,com_14989.parquet
rhs0_1247--rdt1527,1,com,15212,4,2,com_15212.parquet
rhs0_1247--rdt1527,1,res,2,2,1,res_2.parquet
rhs0_1247--rdt1527,1,res,4,54,27,res_4.parquet
rhs0_1247--rdt1527,1,res,7,2,1,res_7.parquet
rhs0_1247--rdt1527,1,res,19,2,1,res_19.parquet
rhs0_1247--rdt1527,1,res,20,2,1,res_20.parquet
rhs0_1247--rdt1527,1,res,24,28,14,res_24.parquet
rhs0_1247--rdt1527,1,res,26,2,1,res_26.parquet
rhs0_1247--rdt1527,1,res,30,2,1,res_30.parquet
rhs0_1247--rdt1527,1,res,33,110,55,res_33.parquet
rhs0_1247--rdt1527,1,res,35,2,1,res_35.parquet
rhs0_1247--rdt1527,1,res,38,4,2,res_38.parquet
rhs0_1247--rdt1527,1,res,39,8,4,res_39.parquet
