geography,urbanicity,feeder_id,load_count,smart_ds_relpath,feeder_path
AUS,P1R,p1rhs0_1247,527,AUS/P1R/base_timeseries/opendss/p1rhs0_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs0_1247/p1rhs0_1247--p1rdt5663
AUS,P1R,p1rhs0_1247,853,AUS/P1R/base_timeseries/opendss/p1rhs0_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs0_1247/p1rhs0_1247--p1rdt6854
AUS,P1R,p1rhs1_1247,428,AUS/P1R/base_timeseries/opendss/p1rhs1_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs1_1247/p1rhs1_1247--p1rdt2397
AUS,P1R,p1rhs1_1247,734,AUS/P1R/base_timeseries/opendss/p1rhs1_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs1_1247/p1rhs1_1247--p1rdt5979
AUS,P1R,p1rhs1_1247,444,AUS/P1R/base_timeseries/opendss/p1rhs1_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs1_1247/p1rhs1_1247--p1rdt6578
AUS,P1R,p1rhs1_1247,1026,AUS/P1R/base_timeseries/opendss/p1rhs1_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs1_1247/p1rhs1_1247--p1rdt6634
AUS,P1R,p1rhs2_1247,625,AUS/P1R/base_timeseries/opendss/p1rhs2_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs2_1247/p1rhs2_1247--p1rdt1528
AUS,P1R,p1rhs2_1247,1151,AUS/P1R/base_timeseries/opendss/p1rhs2_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs2_1247/p1rhs2_1247--p1rdt3039
AUS,P1R,p1rhs2_1247,837,AUS/P1R/base_timeseries/opendss/p1rhs2_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs2_1247/p1rhs2_1247--p1rdt3426
AUS,P1R,p1rhs2_1247,606,AUS/P1R/base_timeseries/opendss/p1rhs2_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs2_1247/p1rhs2_1247--p1rdt4805
AUS,P1R,p1rhs3_1247,1058,AUS/P1R/base_timeseries/opendss/p1rhs3_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs3_1247/p1rhs3_1247--p1rdt2378
AUS,P1R,p1rhs3_1247,1408,AUS/P1R/base_timeseries/opendss/p1rhs3_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs3_1247/p1rhs3_1247--p1rdt2874
AUS,P1R,p1rhs3_1247,1449,AUS/P1R/base_timeseries/opendss/p1rhs3_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs3_1247/p1rhs3_1247--p1rdt3467
AUS,P1R,p1rhs3_1247,1044,AUS/P1R/base_timeseries/opendss/p1rhs3_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs3_1247/p1rhs3_1247--p1rdt8207
AUS,P1R,p1rhs3_1247,1669,AUS/P1R/base_timeseries/opendss/p1rhs3_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs3_1247/p1rhs3_1247--p1rdt8208
AUS,P1R,p1rhs4_1247,579,AUS/P1R/base_timeseries/opendss/p1rhs4_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs4_1247/p1rhs4_1247--p1rdt2300
AUS,P1R,p1rhs4_1247,1005,AUS/P1R/base_timeseries/opendss/p1rhs4_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs4_1247/p1rhs4_1247--p1rdt4715
AUS,P1R,p1rhs4_1247,970,AUS/P1R/base_timeseries/opendss/p1rhs4_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs4_1247/p1rhs4_1247--p1rdt5185
AUS,P1R,p1rhs4_1247,809,AUS/P1R/base_timeseries/opendss/p1rhs4_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs4_1247/p1rhs4_1247--p1rdt5481
AUS,P1R,p1rhs4_1247,616,AUS/P1R/base_timeseries/opendss/p1rhs4_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs4_1247/p1rhs4_1247--p1rdt5851
AUS,P1R,p1rhs4_1247,277,AUS/P1R/base_timeseries/opendss/p1rhs4_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs4_1247/p1rhs4_1247--p1rdt6999
AUS,P1R,p1rhs5_1247,1084,AUS/P1R/base_timeseries/opendss/p1rhs5_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs5_1247/p1rhs5_1247--p1rdt1339
AUS,P1R,p1rhs5_1247,573,AUS/P1R/base_timeseries/opendss/p1rhs5_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs5_1247/p1rhs5_1247--p1rdt7147
AUS,P1R,p1rhs5_1247,904,AUS/P1R/base_timeseries/opendss/p1rhs5_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs5_1247/p1rhs5_1247--p1rdt7748
AUS,P1R,p1rhs5_1247,1304,AUS/P1R/base_timeseries/opendss/p1rhs5_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs5_1247/p1rhs5_1247--p1rdt8064
AUS,P1R,p1rhs6_1247,1628,AUS/P1R/base_timeseries/opendss/p1rhs6_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs6_1247/p1rhs6_1247--p1rdt476
AUS,P1R,p1rhs6_1247,1257,AUS/P1R/base_timeseries/opendss/p1rhs6_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs6_1247/p1rhs6_1247--p1rdt6561
AUS,P1R,p1rhs7_1247,714,AUS/P1R/base_timeseries/opendss/p1rhs7_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs7_1247/p1rhs7_1247--p1rdt1161
AUS,P1R,p1rhs7_1247,1549,AUS/P1R/base_timeseries/opendss/p1rhs7_1247,D:/lvg/AUS/P1R/base_timeseries/opendss/p1rhs7_1247/p1rhs7_1247--p1rdt1291
